"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 12:55:20,34.6 W
2025-04-03 12:55:21,36.0 W
2025-04-03 12:55:21,34.2 W
2025-04-03 12:55:22,35.6 W
2025-04-03 12:55:22,33.7 W
2025-04-03 12:55:23,35.1 W
2025-04-03 12:55:23,34.8 W
2025-04-03 12:55:24,34.8 W
2025-04-03 12:55:24,34.7 W
2025-04-03 12:55:25,34.5 W
2025-04-03 12:55:25,34.4 W
2025-04-03 12:55:26,34.4 W
2025-04-03 12:55:26,35.0 W
2025-04-03 12:55:27,33.4 W
2025-04-03 12:55:27,34.1 W
2025-04-03 12:55:28,32.2 W
2025-04-03 12:55:28,34.5 W
2025-04-03 12:55:29,31.9 W
2025-04-03 12:55:29,34.3 W
2025-04-03 12:55:30,31.8 W
2025-04-03 12:55:30,34.2 W
2025-04-03 12:55:31,32.1 W
2025-04-03 12:55:31,34.1 W
2025-04-03 12:55:32,31.3 W
2025-04-03 12:55:32,34.5 W
2025-04-03 12:55:33,31.4 W
2025-04-03 12:55:33,34.3 W
2025-04-03 12:55:34,31.8 W
2025-04-03 12:55:34,34.4 W
2025-04-03 12:55:35,31.2 W
2025-04-03 12:55:35,33.8 W
2025-04-03 12:55:36,32.1 W
2025-04-03 12:55:36,32.7 W
2025-04-03 12:55:37,33.2 W
2025-04-03 12:55:37,32.5 W
2025-04-03 12:55:38,35.5 W
2025-04-03 12:55:38,34.6 W
2025-04-03 12:55:39,34.9 W
2025-04-03 12:55:39,34.6 W
2025-04-03 12:55:40,34.5 W
2025-04-03 12:55:40,33.6 W
2025-04-03 12:55:41,34.4 W
2025-04-03 12:55:41,32.2 W
2025-04-03 12:55:42,34.2 W
2025-04-03 12:55:42,32.8 W
2025-04-03 12:55:43,34.7 W
2025-04-03 12:55:43,32.9 W
2025-04-03 12:55:44,35.9 W
2025-04-03 12:55:44,33.8 W
2025-04-03 12:55:45,36.1 W
2025-04-03 12:55:45,33.8 W
2025-04-03 12:55:46,36.0 W
2025-04-03 12:55:46,33.0 W
2025-04-03 12:55:47,35.7 W
2025-04-03 12:55:47,33.2 W
2025-04-03 12:55:48,36.5 W
2025-04-03 12:55:48,34.3 W
2025-04-03 12:55:49,36.0 W
2025-04-03 12:55:49,33.0 W
2025-04-03 12:55:50,36.0 W
2025-04-03 12:55:50,33.8 W
2025-04-03 12:55:51,36.2 W
2025-04-03 12:55:51,33.5 W
2025-04-03 12:55:52,35.5 W
2025-04-03 12:55:52,33.3 W
2025-04-03 12:55:53,35.7 W
2025-04-03 12:55:53,33.5 W
2025-04-03 12:55:54,36.4 W
2025-04-03 12:55:54,33.4 W
2025-04-03 12:55:55,35.8 W
2025-04-03 12:55:55,33.3 W
2025-04-03 12:55:56,35.8 W
2025-04-03 12:55:56,33.2 W
2025-04-03 12:55:57,35.2 W
2025-04-03 12:55:57,32.0 W
2025-04-03 12:55:58,34.8 W
2025-04-03 12:55:58,32.7 W
2025-04-03 12:55:59,35.3 W
2025-04-03 12:55:59,32.5 W
2025-04-03 12:56:00,35.3 W
2025-04-03 12:56:00,32.8 W
2025-04-03 12:56:01,35.3 W
2025-04-03 12:56:01,32.6 W
2025-04-03 12:56:02,34.5 W
2025-04-03 12:56:02,32.0 W
2025-04-03 12:56:03,32.6 W
2025-04-03 12:56:03,34.8 W
2025-04-03 12:56:04,34.1 W
2025-04-03 12:56:04,35.6 W
2025-04-03 12:56:05,33.9 W
2025-04-03 12:56:05,36.0 W
2025-04-03 12:56:06,34.1 W
2025-04-03 12:56:06,35.2 W
2025-04-03 12:56:07,33.5 W
2025-04-03 12:56:07,34.9 W
2025-04-03 12:56:08,33.3 W
2025-04-03 12:56:08,35.3 W
2025-04-03 12:56:09,34.0 W
2025-04-03 12:56:09,35.2 W
2025-04-03 12:56:10,33.4 W
2025-04-03 12:56:10,34.7 W
2025-04-03 12:56:11,35.1 W
2025-04-03 12:56:11,34.6 W
2025-04-03 12:56:12,35.0 W
2025-04-03 12:56:12,35.8 W
2025-04-03 12:56:13,34.0 W
2025-04-03 12:56:13,33.6 W
2025-04-03 12:56:14,36.1 W
2025-04-03 12:56:14,32.9 W
2025-04-03 12:56:15,35.4 W
2025-04-03 12:56:15,31.9 W
2025-04-03 12:56:16,34.7 W
2025-04-03 12:56:16,32.7 W
2025-04-03 12:56:17,33.9 W
2025-04-03 12:56:17,33.3 W
2025-04-03 12:56:18,33.2 W
2025-04-03 12:56:18,33.7 W
2025-04-03 12:56:19,33.7 W
2025-04-03 12:56:19,33.7 W
2025-04-03 12:56:20,33.7 W
2025-04-03 12:56:20,34.6 W
2025-04-03 12:56:21,33.5 W
2025-04-03 12:56:21,35.2 W
2025-04-03 12:56:22,33.9 W
2025-04-03 12:56:22,35.9 W
2025-04-03 12:56:23,33.6 W
2025-04-03 12:56:23,35.8 W
2025-04-03 12:56:24,33.2 W
2025-04-03 12:56:24,34.9 W
2025-04-03 12:56:25,33.2 W
2025-04-03 12:56:25,34.9 W
2025-04-03 12:56:26,31.8 W
2025-04-03 12:56:26,34.5 W
2025-04-03 12:56:27,32.2 W
2025-04-03 12:56:27,35.0 W
2025-04-03 12:56:28,32.3 W
2025-04-03 12:56:28,34.9 W
2025-04-03 12:56:29,32.9 W
2025-04-03 12:56:29,35.2 W
2025-04-03 12:56:30,32.4 W
2025-04-03 12:56:30,35.3 W
2025-04-03 12:56:31,32.6 W
2025-04-03 12:56:31,34.9 W
2025-04-03 12:56:32,31.8 W
2025-04-03 12:56:32,36.1 W
2025-04-03 12:56:33,32.7 W
2025-04-03 12:56:33,35.5 W
2025-04-03 12:56:34,32.5 W
2025-04-03 12:56:34,35.9 W
2025-04-03 12:56:35,33.2 W
2025-04-03 12:56:35,36.6 W
2025-04-03 12:56:36,33.4 W
2025-04-03 12:56:36,36.1 W
2025-04-03 12:56:37,32.4 W
2025-04-03 12:56:37,35.2 W
2025-04-03 12:56:38,33.5 W
2025-04-03 12:56:38,35.2 W
2025-04-03 12:56:39,32.4 W
2025-04-03 12:56:39,35.2 W
2025-04-03 12:56:40,32.2 W
2025-04-03 12:56:40,34.8 W
2025-04-03 12:56:41,32.0 W
2025-04-03 12:56:41,35.3 W
2025-04-03 12:56:42,33.4 W
2025-04-03 12:56:42,35.3 W
2025-04-03 12:56:43,33.4 W
2025-04-03 12:56:43,35.1 W
2025-04-03 12:56:44,34.7 W
2025-04-03 12:56:44,33.7 W
2025-04-03 12:56:45,34.6 W
2025-04-03 12:56:45,35.1 W
2025-04-03 12:56:46,34.3 W
2025-04-03 12:56:46,35.1 W
2025-04-03 12:56:47,33.1 W
2025-04-03 12:56:47,35.0 W
2025-04-03 12:56:48,33.5 W
2025-04-03 12:56:48,34.9 W
2025-04-03 12:56:49,34.0 W
2025-04-03 12:56:49,33.8 W
2025-04-03 12:56:50,34.8 W
2025-04-03 12:56:50,33.0 W
2025-04-03 12:56:51,35.2 W
2025-04-03 12:56:51,32.6 W
2025-04-03 12:56:52,34.7 W
2025-04-03 12:56:52,32.2 W
2025-04-03 12:56:53,35.2 W
2025-04-03 12:56:53,32.6 W
2025-04-03 12:56:54,35.0 W
2025-04-03 12:56:54,32.6 W
2025-04-03 12:56:55,35.0 W
2025-04-03 12:56:55,32.7 W
2025-04-03 12:56:56,35.1 W
2025-04-03 12:56:56,32.7 W
2025-04-03 12:56:57,35.1 W
2025-04-03 12:56:57,32.7 W
2025-04-03 12:56:58,34.6 W
2025-04-03 12:56:58,32.4 W
2025-04-03 12:56:59,35.0 W
2025-04-03 12:56:59,31.8 W
2025-04-03 12:57:00,35.2 W
2025-04-03 12:57:00,32.6 W
2025-04-03 12:57:01,35.1 W
2025-04-03 12:57:01,32.5 W
2025-04-03 12:57:02,35.3 W
2025-04-03 12:57:02,32.2 W
2025-04-03 12:57:03,35.0 W
2025-04-03 12:57:03,32.2 W
2025-04-03 12:57:04,35.4 W
2025-04-03 12:57:04,32.4 W
2025-04-03 12:57:05,35.1 W
2025-04-03 12:57:05,32.7 W
2025-04-03 12:57:06,35.6 W
2025-04-03 12:57:06,32.2 W
2025-04-03 12:57:07,35.4 W
2025-04-03 12:57:07,31.9 W
2025-04-03 12:57:08,34.7 W
2025-04-03 12:57:08,32.5 W
2025-04-03 12:57:09,33.8 W
2025-04-03 12:57:09,33.6 W
2025-04-03 12:57:10,32.9 W
2025-04-03 12:57:10,33.1 W
2025-04-03 12:57:11,34.0 W
2025-04-03 12:57:11,35.2 W
2025-04-03 12:57:12,33.1 W
2025-04-03 12:57:12,33.3 W
2025-04-03 12:57:13,34.8 W
2025-04-03 12:57:13,32.4 W
2025-04-03 12:57:14,34.6 W
2025-04-03 12:57:14,33.5 W
2025-04-03 12:57:15,32.6 W
2025-04-03 12:57:15,35.2 W
2025-04-03 12:57:16,32.6 W
2025-04-03 12:57:16,35.2 W
2025-04-03 12:57:17,32.5 W
2025-04-03 12:57:17,35.2 W
2025-04-03 12:57:18,32.8 W
2025-04-03 12:57:18,35.5 W
2025-04-03 12:57:19,33.9 W
2025-04-03 12:57:19,35.6 W
2025-04-03 12:57:20,32.2 W
2025-04-03 12:57:20,36.3 W
2025-04-03 12:57:21,32.6 W
2025-04-03 12:57:21,35.2 W
