"Time","Postgres"
2025-04-03 12:29:20,0.242%
2025-04-03 12:29:30,1.53%
2025-04-03 12:29:40,1.56%
2025-04-03 12:29:50,1.58%
2025-04-03 12:30:00,1.61%
2025-04-03 12:30:10,1.59%
2025-04-03 12:30:20,1.58%
2025-04-03 12:30:30,1.63%
2025-04-03 12:30:40,1.60%
2025-04-03 12:30:50,1.62%
2025-04-03 12:31:00,1.64%
2025-04-03 12:31:10,1.67%
2025-04-03 12:31:20,1.63%
2025-04-03 12:31:30,1.67%
2025-04-03 12:31:40,1.64%
2025-04-03 12:31:50,1.64%
2025-04-03 12:32:00,1.62%
2025-04-03 12:32:10,1.63%
2025-04-03 12:32:20,1.63%
2025-04-03 12:32:30,1.61%
2025-04-03 12:32:40,1.59%
2025-04-03 12:32:50,1.64%
2025-04-03 12:33:00,1.62%
2025-04-03 12:33:10,1.63%
2025-04-03 12:33:20,1.63%
2025-04-03 12:33:30,1.65%
2025-04-03 12:33:40,1.63%
2025-04-03 12:33:50,1.61%
2025-04-03 12:34:00,1.64%
2025-04-03 12:34:10,1.64%
2025-04-03 12:34:20,1.64%
