"Time","Redis"
2025-04-03 12:29:20,0.0101%
2025-04-03 12:29:30,0.0115%
2025-04-03 12:29:40,0.0124%
2025-04-03 12:29:50,0.0123%
2025-04-03 12:30:00,0.0124%
2025-04-03 12:30:10,0.0118%
2025-04-03 12:30:20,0.0117%
2025-04-03 12:30:30,0.0121%
2025-04-03 12:30:40,0.0120%
2025-04-03 12:30:50,0.0126%
2025-04-03 12:31:00,0.0125%
2025-04-03 12:31:10,0.0125%
2025-04-03 12:31:20,0.0117%
2025-04-03 12:31:30,0.0116%
2025-04-03 12:31:40,0.0123%
2025-04-03 12:31:50,0.0117%
2025-04-03 12:32:00,0.0123%
2025-04-03 12:32:10,0.0120%
2025-04-03 12:32:20,0.0115%
2025-04-03 12:32:30,0.0112%
2025-04-03 12:32:40,0.0109%
2025-04-03 12:32:50,0.0115%
2025-04-03 12:33:00,0.0119%
2025-04-03 12:33:10,0.0117%
2025-04-03 12:33:20,0.0119%
2025-04-03 12:33:30,0.0116%
2025-04-03 12:33:40,0.0122%
2025-04-03 12:33:50,0.0113%
2025-04-03 12:34:00,0.0112%
2025-04-03 12:34:10,0.0121%
2025-04-03 12:34:20,0.0121%
