"Time","Grouped CPU Load"
2025-04-03 11:27:20,14.0%
2025-04-03 11:27:30,29.0%
2025-04-03 11:27:40,28.4%
2025-04-03 11:27:50,28.4%
2025-04-03 11:28:00,28.3%
2025-04-03 11:28:10,27.9%
2025-04-03 11:28:20,28.2%
2025-04-03 11:28:30,28.4%
2025-04-03 11:28:40,28.5%
2025-04-03 11:28:50,27.7%
2025-04-03 11:29:00,28.2%
2025-04-03 11:29:10,27.5%
2025-04-03 11:29:20,27.9%
2025-04-03 11:29:30,27.5%
2025-04-03 11:29:40,27.6%
2025-04-03 11:29:50,29.3%
2025-04-03 11:30:00,27.9%
2025-04-03 11:30:10,28.3%
2025-04-03 11:30:20,28.5%
2025-04-03 11:30:30,26.8%
2025-04-03 11:30:40,27.5%
2025-04-03 11:30:50,28.9%
2025-04-03 11:31:00,27.5%
2025-04-03 11:31:10,27.9%
2025-04-03 11:31:20,28.4%
2025-04-03 11:31:30,27.8%
2025-04-03 11:31:40,27.2%
2025-04-03 11:31:50,28.3%
2025-04-03 11:32:00,27.5%
2025-04-03 11:32:10,26.5%
2025-04-03 11:32:20,26.2%
