"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 11:19:20,30.2 W
2025-04-03 11:19:21,30.1 W
2025-04-03 11:19:21,31.0 W
2025-04-03 11:19:22,31.5 W
2025-04-03 11:19:22,31.4 W
2025-04-03 11:19:23,30.5 W
2025-04-03 11:19:23,30.2 W
2025-04-03 11:19:24,30.7 W
2025-04-03 11:19:24,30.4 W
2025-04-03 11:19:25,31.1 W
2025-04-03 11:19:25,30.8 W
2025-04-03 11:19:26,30.9 W
2025-04-03 11:19:26,31.4 W
2025-04-03 11:19:27,30.0 W
2025-04-03 11:19:27,29.7 W
2025-04-03 11:19:28,29.1 W
2025-04-03 11:19:28,28.9 W
2025-04-03 11:19:29,28.8 W
2025-04-03 11:19:29,29.1 W
2025-04-03 11:19:30,28.8 W
2025-04-03 11:19:30,28.7 W
2025-04-03 11:19:31,29.0 W
2025-04-03 11:19:31,29.8 W
2025-04-03 11:19:32,29.2 W
2025-04-03 11:19:32,28.7 W
2025-04-03 11:19:33,28.5 W
2025-04-03 11:19:33,28.6 W
2025-04-03 11:19:34,30.6 W
2025-04-03 11:19:34,30.2 W
2025-04-03 11:19:35,30.0 W
2025-04-03 11:19:35,30.3 W
2025-04-03 11:19:36,31.1 W
2025-04-03 11:19:36,29.3 W
2025-04-03 11:19:37,29.0 W
2025-04-03 11:19:37,29.5 W
2025-04-03 11:19:38,29.0 W
2025-04-03 11:19:38,29.5 W
2025-04-03 11:19:39,30.6 W
2025-04-03 11:19:39,29.9 W
2025-04-03 11:19:40,30.7 W
2025-04-03 11:19:40,30.8 W
2025-04-03 11:19:41,29.9 W
2025-04-03 11:19:41,29.3 W
2025-04-03 11:19:42,29.7 W
2025-04-03 11:19:42,30.5 W
2025-04-03 11:19:43,30.5 W
2025-04-03 11:19:43,30.4 W
2025-04-03 11:19:44,29.9 W
2025-04-03 11:19:44,29.8 W
2025-04-03 11:19:45,29.6 W
2025-04-03 11:19:45,29.3 W
2025-04-03 11:19:46,29.3 W
2025-04-03 11:19:46,28.9 W
2025-04-03 11:19:47,28.9 W
2025-04-03 11:19:47,29.5 W
2025-04-03 11:19:48,29.8 W
2025-04-03 11:19:48,31.2 W
2025-04-03 11:19:49,32.7 W
2025-04-03 11:19:49,31.9 W
2025-04-03 11:19:50,32.1 W
2025-04-03 11:19:50,31.3 W
2025-04-03 11:19:51,31.8 W
2025-04-03 11:19:51,30.5 W
2025-04-03 11:19:52,29.9 W
2025-04-03 11:19:52,29.8 W
2025-04-03 11:19:53,29.5 W
2025-04-03 11:19:53,30.3 W
2025-04-03 11:19:54,30.1 W
2025-04-03 11:19:54,30.5 W
2025-04-03 11:19:55,29.8 W
2025-04-03 11:19:55,29.6 W
2025-04-03 11:19:56,29.9 W
2025-04-03 11:19:56,29.7 W
2025-04-03 11:19:57,29.9 W
2025-04-03 11:19:57,30.7 W
2025-04-03 11:19:58,30.0 W
2025-04-03 11:19:58,28.7 W
