"Time","Redis"
2025-04-03 10:57:10,0.0103%
2025-04-03 10:57:20,0.0108%
2025-04-03 10:57:30,0.0105%
2025-04-03 10:57:40,0.00999%
2025-04-03 10:57:50,0.0106%
2025-04-03 10:58:00,0.0111%
2025-04-03 10:58:10,0.0110%
2025-04-03 10:58:20,0.0110%
2025-04-03 10:58:30,0.0106%
2025-04-03 10:58:40,0.0117%
2025-04-03 10:58:50,0.0107%
2025-04-03 10:59:00,0.0111%
2025-04-03 10:59:10,0.0110%
2025-04-03 10:59:20,0.0107%
2025-04-03 10:59:30,0.0107%
2025-04-03 10:59:40,0.0107%
2025-04-03 10:59:50,0.0105%
2025-04-03 11:00:00,0.0101%
2025-04-03 11:00:10,0.0112%
2025-04-03 11:00:20,0.0116%
2025-04-03 11:00:30,0.0103%
2025-04-03 11:00:40,0.0107%
2025-04-03 11:00:50,0.0108%
2025-04-03 11:01:00,0.0106%
2025-04-03 11:01:10,0.0107%
2025-04-03 11:01:20,0.0113%
2025-04-03 11:01:30,0.0111%
2025-04-03 11:01:40,0.0112%
2025-04-03 11:01:50,0.0104%
2025-04-03 11:02:00,0.0105%
2025-04-03 11:02:10,0.0106%
