"Time","GraphQL server"
2025-04-03 12:09:40,25.8%
2025-04-03 12:09:50,25.9%
2025-04-03 12:10:00,25.4%
2025-04-03 12:10:10,26.4%
2025-04-03 12:10:20,25.7%
2025-04-03 12:10:30,26.4%
2025-04-03 12:10:40,25.2%
2025-04-03 12:10:50,26.2%
2025-04-03 12:11:00,25.4%
2025-04-03 12:11:10,25.5%
2025-04-03 12:11:20,26.2%
2025-04-03 12:11:30,25.2%
2025-04-03 12:11:40,26.2%
2025-04-03 12:11:50,25.5%
2025-04-03 12:12:00,26.0%
2025-04-03 12:12:10,26.4%
2025-04-03 12:12:20,25.2%
2025-04-03 12:12:30,26.0%
2025-04-03 12:12:40,26.1%
2025-04-03 12:12:50,25.2%
2025-04-03 12:13:00,26.1%
2025-04-03 12:13:10,26.6%
2025-04-03 12:13:20,25.3%
2025-04-03 12:13:30,25.3%
2025-04-03 12:13:40,26.1%
2025-04-03 12:13:50,26.2%
2025-04-03 12:14:00,25.3%
2025-04-03 12:14:10,26.0%
2025-04-03 12:14:20,26.4%
2025-04-03 12:14:30,25.5%
2025-04-03 12:14:40,25.0%
