"Time","Grouped CPU Load"
2025-04-03 12:16:40,67.8%
2025-04-03 12:16:50,63.9%
2025-04-03 12:17:00,65.8%
2025-04-03 12:17:10,66.8%
2025-04-03 12:17:20,61.6%
2025-04-03 12:17:30,68.5%
2025-04-03 12:17:40,68.2%
2025-04-03 12:17:50,67.0%
2025-04-03 12:18:00,65.9%
2025-04-03 12:18:10,68.7%
2025-04-03 12:18:20,68.6%
2025-04-03 12:18:30,68.8%
2025-04-03 12:18:40,66.2%
2025-04-03 12:18:50,66.8%
2025-04-03 12:19:00,68.1%
2025-04-03 12:19:10,66.8%
2025-04-03 12:19:20,68.6%
2025-04-03 12:19:30,67.1%
2025-04-03 12:19:40,67.7%
2025-04-03 12:19:50,67.0%
2025-04-03 12:20:00,67.5%
2025-04-03 12:20:10,67.9%
2025-04-03 12:20:20,67.1%
2025-04-03 12:20:30,67.9%
2025-04-03 12:20:40,68.4%
2025-04-03 12:20:50,69.8%
2025-04-03 12:21:00,69.1%
2025-04-03 12:21:10,69.4%
2025-04-03 12:21:20,67.6%
2025-04-03 12:21:30,69.3%
2025-04-03 12:21:40,69.7%
