"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 12:29:25,32.4 W
2025-04-03 12:29:26,35.7 W
2025-04-03 12:29:26,33.1 W
2025-04-03 12:29:27,35.9 W
2025-04-03 12:29:27,33.1 W
2025-04-03 12:29:28,36.0 W
2025-04-03 12:29:28,33.0 W
2025-04-03 12:29:29,36.0 W
2025-04-03 12:29:29,32.9 W
2025-04-03 12:29:30,35.4 W
2025-04-03 12:29:30,33.2 W
2025-04-03 12:29:31,36.2 W
2025-04-03 12:29:31,33.1 W
2025-04-03 12:29:32,36.0 W
2025-04-03 12:29:32,32.9 W
2025-04-03 12:29:33,36.0 W
2025-04-03 12:29:33,33.4 W
2025-04-03 12:29:34,35.6 W
2025-04-03 12:29:34,32.9 W
2025-04-03 12:29:35,35.7 W
2025-04-03 12:29:35,33.0 W
2025-04-03 12:29:36,34.6 W
2025-04-03 12:29:36,32.2 W
2025-04-03 12:29:37,35.0 W
2025-04-03 12:29:37,31.8 W
2025-04-03 12:29:38,34.9 W
2025-04-03 12:29:38,32.0 W
2025-04-03 12:29:39,35.4 W
2025-04-03 12:29:39,32.3 W
2025-04-03 12:29:40,35.7 W
2025-04-03 12:29:40,32.8 W
2025-04-03 12:29:41,36.0 W
2025-04-03 12:29:41,33.1 W
2025-04-03 12:29:42,35.5 W
2025-04-03 12:29:42,32.2 W
2025-04-03 12:29:43,35.6 W
2025-04-03 12:29:43,32.5 W
2025-04-03 12:29:44,36.0 W
2025-04-03 12:29:44,32.2 W
2025-04-03 12:29:45,35.3 W
2025-04-03 12:29:45,32.0 W
2025-04-03 12:29:46,35.2 W
2025-04-03 12:29:46,32.5 W
2025-04-03 12:29:47,35.7 W
2025-04-03 12:29:47,32.8 W
2025-04-03 12:29:48,35.6 W
2025-04-03 12:29:48,32.5 W
2025-04-03 12:29:49,35.6 W
2025-04-03 12:29:49,32.9 W
2025-04-03 12:29:50,36.3 W
2025-04-03 12:29:50,33.1 W
2025-04-03 12:29:51,36.2 W
2025-04-03 12:29:51,33.2 W
2025-04-03 12:29:52,35.8 W
2025-04-03 12:29:52,33.2 W
2025-04-03 12:29:53,35.8 W
2025-04-03 12:29:53,33.1 W
2025-04-03 12:29:54,36.3 W
2025-04-03 12:29:54,33.0 W
2025-04-03 12:29:55,36.2 W
2025-04-03 12:29:55,33.0 W
2025-04-03 12:29:56,36.2 W
2025-04-03 12:29:56,33.3 W
2025-04-03 12:29:57,35.7 W
2025-04-03 12:29:57,32.2 W
2025-04-03 12:29:58,35.6 W
2025-04-03 12:29:58,33.0 W
2025-04-03 12:29:59,36.0 W
2025-04-03 12:29:59,32.8 W
2025-04-03 12:30:00,36.2 W
2025-04-03 12:30:00,32.9 W
2025-04-03 12:30:01,35.7 W
2025-04-03 12:30:01,32.4 W
2025-04-03 12:30:02,35.5 W
2025-04-03 12:30:02,32.3 W
2025-04-03 12:30:03,34.9 W
2025-04-03 12:30:03,32.3 W
2025-04-03 12:30:04,35.5 W
2025-04-03 12:30:04,32.4 W
2025-04-03 12:30:05,35.2 W
2025-04-03 12:30:05,33.3 W
2025-04-03 12:30:06,36.1 W
2025-04-03 12:30:06,33.1 W
2025-04-03 12:30:07,36.3 W
2025-04-03 12:30:07,32.7 W
2025-04-03 12:30:08,35.2 W
2025-04-03 12:30:08,33.2 W
2025-04-03 12:30:09,35.6 W
2025-04-03 12:30:09,32.7 W
2025-04-03 12:30:10,34.5 W
2025-04-03 12:30:10,33.2 W
