"Time","Redis"
2025-04-03 12:22:40,0.0106%
2025-04-03 12:22:50,0.0110%
2025-04-03 12:23:00,0.0107%
2025-04-03 12:23:10,0.0108%
2025-04-03 12:23:20,0.0111%
2025-04-03 12:23:30,0.0112%
2025-04-03 12:23:40,0.0110%
2025-04-03 12:23:50,0.0110%
2025-04-03 12:24:00,0.0107%
2025-04-03 12:24:10,0.0111%
2025-04-03 12:24:20,0.0110%
2025-04-03 12:24:30,0.0110%
2025-04-03 12:24:40,0.0108%
2025-04-03 12:24:50,0.0112%
2025-04-03 12:25:00,0.0109%
2025-04-03 12:25:10,0.0110%
2025-04-03 12:25:20,0.0108%
2025-04-03 12:25:30,0.0109%
2025-04-03 12:25:40,0.0110%
2025-04-03 12:25:50,0.0108%
2025-04-03 12:26:00,0.0112%
2025-04-03 12:26:10,0.0111%
2025-04-03 12:26:20,0.0109%
2025-04-03 12:26:30,0.0109%
2025-04-03 12:26:40,0.0113%
2025-04-03 12:26:50,0.0108%
2025-04-03 12:27:00,0.0111%
2025-04-03 12:27:10,0.0110%
2025-04-03 12:27:20,0.0114%
2025-04-03 12:27:30,0.0113%
2025-04-03 12:27:40,0.0116%
