"Time","GraphQL server"
2025-04-03 12:47:00,44.0%
2025-04-03 12:47:10,61.6%
2025-04-03 12:47:20,63.0%
2025-04-03 12:47:30,62.9%
2025-04-03 12:47:40,64.6%
2025-04-03 12:47:50,62.6%
2025-04-03 12:48:00,62.8%
2025-04-03 12:48:10,63.2%
2025-04-03 12:48:20,62.1%
2025-04-03 12:48:30,62.3%
2025-04-03 12:48:40,61.9%
2025-04-03 12:48:50,62.6%
2025-04-03 12:49:00,61.4%
2025-04-03 12:49:10,63.3%
2025-04-03 12:49:20,61.6%
2025-04-03 12:49:30,60.5%
2025-04-03 12:49:40,61.5%
2025-04-03 12:49:50,63.5%
2025-04-03 12:50:00,59.3%
2025-04-03 12:50:10,61.7%
2025-04-03 12:50:20,60.5%
2025-04-03 12:50:30,62.6%
2025-04-03 12:50:40,63.9%
2025-04-03 12:50:50,59.8%
2025-04-03 12:51:00,61.9%
2025-04-03 12:51:10,60.2%
2025-04-03 12:51:20,61.0%
2025-04-03 12:51:30,60.1%
2025-04-03 12:51:40,60.6%
2025-04-03 12:51:50,61.7%
2025-04-03 12:52:00,61.9%
