"Time","Grouped CPU Load"
2025-04-03 13:31:00,18.7%
2025-04-03 13:31:10,65.4%
2025-04-03 13:31:20,58.3%
2025-04-03 13:31:30,61.5%
2025-04-03 13:31:40,64.5%
2025-04-03 13:31:50,63.3%
2025-04-03 13:32:00,61.5%
2025-04-03 13:32:10,62.7%
2025-04-03 13:32:20,63.4%
2025-04-03 13:32:30,57.5%
2025-04-03 13:32:40,56.4%
2025-04-03 13:32:50,59.8%
2025-04-03 13:33:00,57.8%
2025-04-03 13:33:10,59.1%
2025-04-03 13:33:20,59.7%
2025-04-03 13:33:30,59.0%
2025-04-03 13:33:40,64.2%
2025-04-03 13:33:50,61.6%
2025-04-03 13:34:00,59.7%
2025-04-03 13:34:10,58.7%
2025-04-03 13:34:20,57.8%
2025-04-03 13:34:30,60.8%
2025-04-03 13:34:40,58.5%
2025-04-03 13:34:50,58.9%
2025-04-03 13:35:00,59.1%
2025-04-03 13:35:10,59.6%
2025-04-03 13:35:20,60.0%
2025-04-03 13:35:30,60.2%
2025-04-03 13:35:40,60.3%
2025-04-03 13:35:50,59.6%
2025-04-03 13:36:00,60.0%
