"Time","Postgres"
2025-04-03 13:03:40,1.52%
2025-04-03 13:03:50,1.52%
2025-04-03 13:04:00,1.55%
2025-04-03 13:04:10,1.53%
2025-04-03 13:04:20,1.56%
2025-04-03 13:04:30,1.56%
2025-04-03 13:04:40,1.54%
2025-04-03 13:04:50,1.54%
2025-04-03 13:05:00,1.56%
2025-04-03 13:05:10,1.55%
2025-04-03 13:05:20,1.68%
2025-04-03 13:05:30,1.53%
2025-04-03 13:05:40,1.53%
2025-04-03 13:05:50,1.55%
2025-04-03 13:06:00,1.55%
2025-04-03 13:06:10,1.55%
2025-04-03 13:06:20,1.53%
2025-04-03 13:06:30,1.51%
2025-04-03 13:06:40,1.53%
2025-04-03 13:06:50,1.51%
2025-04-03 13:07:00,1.52%
2025-04-03 13:07:10,1.52%
2025-04-03 13:07:20,1.53%
2025-04-03 13:07:30,1.50%
2025-04-03 13:07:40,1.50%
2025-04-03 13:07:50,1.53%
2025-04-03 13:08:00,1.54%
2025-04-03 13:08:10,1.49%
2025-04-03 13:08:20,1.53%
2025-04-03 13:08:30,1.51%
2025-04-03 13:08:40,1.53%
