"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 13:03:40,35.4 W
2025-04-03 13:03:41,31.3 W
2025-04-03 13:03:41,35.3 W
2025-04-03 13:03:42,31.9 W
2025-04-03 13:03:42,35.0 W
2025-04-03 13:03:43,31.9 W
2025-04-03 13:03:43,34.9 W
2025-04-03 13:03:44,31.4 W
2025-04-03 13:03:44,35.8 W
2025-04-03 13:03:45,32.3 W
2025-04-03 13:03:45,35.6 W
2025-04-03 13:03:46,33.8 W
2025-04-03 13:03:46,34.7 W
2025-04-03 13:03:47,34.7 W
2025-04-03 13:03:47,31.6 W
2025-04-03 13:03:48,34.0 W
2025-04-03 13:03:48,33.7 W
2025-04-03 13:03:49,35.3 W
2025-04-03 13:03:49,33.7 W
2025-04-03 13:03:50,35.6 W
2025-04-03 13:03:50,33.2 W
2025-04-03 13:03:51,35.9 W
2025-04-03 13:03:51,32.2 W
2025-04-03 13:03:52,35.2 W
2025-04-03 13:03:52,31.8 W
2025-04-03 13:03:53,35.3 W
2025-04-03 13:03:53,31.1 W
2025-04-03 13:03:54,35.7 W
2025-04-03 13:03:54,32.6 W
2025-04-03 13:03:55,35.6 W
2025-04-03 13:03:55,31.6 W
2025-04-03 13:03:56,35.5 W
2025-04-03 13:03:56,32.5 W
2025-04-03 13:03:57,35.9 W
2025-04-03 13:03:57,31.8 W
2025-04-03 13:03:58,35.9 W
2025-04-03 13:03:58,31.6 W
2025-04-03 13:03:59,35.3 W
2025-04-03 13:03:59,31.4 W
2025-04-03 13:04:00,35.3 W
2025-04-03 13:04:00,31.8 W
2025-04-03 13:04:01,34.9 W
2025-04-03 13:04:01,30.5 W
2025-04-03 13:04:02,34.6 W
2025-04-03 13:04:02,30.5 W
2025-04-03 13:04:03,35.3 W
2025-04-03 13:04:03,30.5 W
2025-04-03 13:04:04,35.9 W
2025-04-03 13:04:04,32.1 W
2025-04-03 13:04:05,35.6 W
2025-04-03 13:04:05,31.9 W
2025-04-03 13:04:06,35.3 W
2025-04-03 13:04:06,31.4 W
2025-04-03 13:04:07,35.3 W
2025-04-03 13:04:07,31.9 W
2025-04-03 13:04:08,36.0 W
2025-04-03 13:04:08,31.6 W
2025-04-03 13:04:09,35.6 W
2025-04-03 13:04:09,31.7 W
2025-04-03 13:04:10,35.9 W
2025-04-03 13:04:10,32.7 W
2025-04-03 13:04:11,34.3 W
