"Time","Redis"
2025-04-03 13:03:40,0.0120%
2025-04-03 13:03:50,0.0118%
2025-04-03 13:04:00,0.0121%
2025-04-03 13:04:10,0.0116%
2025-04-03 13:04:20,0.0118%
2025-04-03 13:04:30,0.0119%
2025-04-03 13:04:40,0.0119%
2025-04-03 13:04:50,0.0113%
2025-04-03 13:05:00,0.0120%
2025-04-03 13:05:10,0.0120%
2025-04-03 13:05:20,0.0114%
2025-04-03 13:05:30,0.0120%
2025-04-03 13:05:40,0.0119%
2025-04-03 13:05:50,0.0120%
2025-04-03 13:06:00,0.0119%
2025-04-03 13:06:10,0.0123%
2025-04-03 13:06:20,0.0111%
2025-04-03 13:06:30,0.0114%
2025-04-03 13:06:40,0.0117%
2025-04-03 13:06:50,0.0120%
2025-04-03 13:07:00,0.0122%
2025-04-03 13:07:10,0.0112%
2025-04-03 13:07:20,0.0111%
2025-04-03 13:07:30,0.0112%
2025-04-03 13:07:40,0.0113%
2025-04-03 13:07:50,0.0122%
2025-04-03 13:08:00,0.0116%
2025-04-03 13:08:10,0.0117%
2025-04-03 13:08:20,0.0118%
2025-04-03 13:08:30,0.0120%
2025-04-03 13:08:40,0.0120%
