"Time","GraphQL server"
2025-04-03 13:16:40,23.3%
2025-04-03 13:16:50,63.4%
2025-04-03 13:17:00,63.8%
2025-04-03 13:17:10,61.9%
2025-04-03 13:17:20,63.1%
2025-04-03 13:17:30,62.4%
2025-04-03 13:17:40,59.7%
2025-04-03 13:17:50,61.7%
2025-04-03 13:18:00,62.5%
2025-04-03 13:18:10,60.0%
2025-04-03 13:18:20,58.3%
2025-04-03 13:18:30,57.8%
2025-04-03 13:18:40,58.2%
2025-04-03 13:18:50,58.0%
2025-04-03 13:19:00,57.7%
2025-04-03 13:19:10,58.6%
2025-04-03 13:19:20,57.8%
2025-04-03 13:19:30,58.3%
2025-04-03 13:19:40,62.1%
2025-04-03 13:19:50,56.9%
2025-04-03 13:20:00,56.8%
2025-04-03 13:20:10,56.8%
2025-04-03 13:20:20,59.1%
2025-04-03 13:20:30,61.2%
2025-04-03 13:20:40,60.3%
2025-04-03 13:20:50,58.6%
2025-04-03 13:21:00,57.1%
2025-04-03 13:21:10,61.9%
2025-04-03 13:21:20,58.7%
2025-04-03 13:21:30,59.9%
2025-04-03 13:21:40,60.7%
