"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 10:03:40,26.8 W
2025-04-03 10:03:41,25.6 W
2025-04-03 10:03:41,26.6 W
2025-04-03 10:03:42,25.2 W
2025-04-03 10:03:42,24.0 W
2025-04-03 10:03:43,23.5 W
2025-04-03 10:03:43,23.4 W
2025-04-03 10:03:44,23.4 W
2025-04-03 10:03:44,25.5 W
2025-04-03 10:03:45,24.3 W
2025-04-03 10:03:45,24.5 W
2025-04-03 10:03:46,24.5 W
2025-04-03 10:03:46,26.0 W
2025-04-03 10:03:47,26.5 W
2025-04-03 10:03:47,25.0 W
2025-04-03 10:03:48,24.5 W
2025-04-03 10:03:48,23.8 W
2025-04-03 10:03:49,26.0 W
2025-04-03 10:03:49,25.1 W
2025-04-03 10:03:50,24.8 W
2025-04-03 10:03:50,25.5 W
2025-04-03 10:03:51,26.1 W
2025-04-03 10:03:51,24.9 W
2025-04-03 10:03:52,26.4 W
2025-04-03 10:03:52,25.5 W
2025-04-03 10:03:53,27.5 W
2025-04-03 10:03:53,26.1 W
2025-04-03 10:03:54,27.7 W
2025-04-03 10:03:54,25.2 W
2025-04-03 10:03:55,25.4 W
2025-04-03 10:03:55,27.1 W
2025-04-03 10:03:56,26.8 W
2025-04-03 10:03:56,26.9 W
2025-04-03 10:03:57,26.1 W
2025-04-03 10:03:57,26.0 W
2025-04-03 10:03:58,25.8 W
2025-04-03 10:03:58,26.5 W
2025-04-03 10:03:59,26.7 W
2025-04-03 10:03:59,26.2 W
2025-04-03 10:04:00,25.4 W
2025-04-03 10:04:00,25.9 W
2025-04-03 10:04:01,26.4 W
2025-04-03 10:04:01,25.5 W
2025-04-03 10:04:02,26.1 W
2025-04-03 10:04:02,26.2 W
2025-04-03 10:04:03,25.7 W
2025-04-03 10:04:03,26.7 W
2025-04-03 10:04:04,26.1 W
2025-04-03 10:04:04,24.6 W
2025-04-03 10:04:05,25.1 W
2025-04-03 10:04:05,25.9 W
2025-04-03 10:04:06,24.1 W
2025-04-03 10:04:06,23.8 W
2025-04-03 10:04:07,23.9 W
2025-04-03 10:04:07,23.8 W
2025-04-03 10:04:08,24.4 W
2025-04-03 10:04:08,24.8 W
2025-04-03 10:04:09,23.8 W
2025-04-03 10:04:09,24.1 W
2025-04-03 10:04:10,24.8 W
2025-04-03 10:04:10,24.6 W
2025-04-03 10:04:11,24.0 W
2025-04-03 10:04:11,24.2 W
2025-04-03 10:04:12,24.4 W
2025-04-03 10:04:12,24.9 W
2025-04-03 10:04:13,23.8 W
2025-04-03 10:04:13,24.2 W
2025-04-03 10:04:14,25.6 W
2025-04-03 10:04:14,24.5 W
2025-04-03 10:04:15,23.4 W
2025-04-03 10:04:15,26.4 W
2025-04-03 10:04:16,25.7 W
2025-04-03 10:04:16,25.0 W
2025-04-03 10:04:17,25.4 W
2025-04-03 10:04:17,24.6 W
2025-04-03 10:04:18,24.3 W
2025-04-03 10:04:18,24.8 W
2025-04-03 10:04:19,24.2 W
2025-04-03 10:04:19,24.5 W
2025-04-03 10:04:20,26.5 W
2025-04-03 10:04:20,25.6 W
2025-04-03 10:04:21,26.8 W
2025-04-03 10:04:21,26.5 W
2025-04-03 10:04:22,26.4 W
2025-04-03 10:04:22,26.0 W
2025-04-03 10:04:23,27.1 W
2025-04-03 10:04:23,25.3 W
2025-04-03 10:04:24,26.2 W
2025-04-03 10:04:24,24.9 W
2025-04-03 10:04:25,25.6 W
2025-04-03 10:04:25,26.8 W
2025-04-03 10:04:26,26.3 W
2025-04-03 10:04:26,26.0 W
2025-04-03 10:04:27,25.2 W
2025-04-03 10:04:27,25.4 W
2025-04-03 10:04:28,26.9 W
2025-04-03 10:04:28,26.1 W
2025-04-03 10:04:29,25.6 W
2025-04-03 10:04:29,25.7 W
2025-04-03 10:04:30,26.3 W
2025-04-03 10:04:30,26.4 W
2025-04-03 10:04:31,26.8 W
2025-04-03 10:04:31,26.0 W
2025-04-03 10:04:32,25.5 W
2025-04-03 10:04:32,25.1 W
2025-04-03 10:04:33,25.8 W
2025-04-03 10:04:33,26.3 W
2025-04-03 10:04:34,26.2 W
2025-04-03 10:04:34,26.0 W
2025-04-03 10:04:35,25.4 W
2025-04-03 10:04:35,26.6 W
2025-04-03 10:04:36,25.8 W
2025-04-03 10:04:36,25.9 W
2025-04-03 10:04:37,25.5 W
2025-04-03 10:04:37,24.7 W
2025-04-03 10:04:38,25.6 W
2025-04-03 10:04:38,24.7 W
2025-04-03 10:04:39,25.5 W
2025-04-03 10:04:39,25.8 W
2025-04-03 10:04:40,25.7 W
2025-04-03 10:04:40,25.5 W
2025-04-03 10:04:41,26.5 W
2025-04-03 10:04:41,25.6 W
2025-04-03 10:04:42,24.5 W
2025-04-03 10:04:42,24.1 W
2025-04-03 10:04:43,24.9 W
2025-04-03 10:04:43,25.2 W
2025-04-03 10:04:44,24.8 W
2025-04-03 10:04:44,25.3 W
2025-04-03 10:04:45,24.7 W
2025-04-03 10:04:45,25.5 W
2025-04-03 10:04:46,25.9 W
2025-04-03 10:04:46,26.1 W
2025-04-03 10:04:47,25.9 W
2025-04-03 10:04:47,25.9 W
2025-04-03 10:04:48,24.9 W
2025-04-03 10:04:48,25.8 W
2025-04-03 10:04:49,25.1 W
2025-04-03 10:04:49,25.1 W
2025-04-03 10:04:50,24.9 W
