"Time","Redis"
2025-04-03 08:45:50,0.00940%
2025-04-03 08:46:00,0.00980%
2025-04-03 08:46:10,0.0115%
2025-04-03 08:46:20,0.0100%
2025-04-03 08:46:30,0.0100%
2025-04-03 08:46:40,0.0113%
2025-04-03 08:46:50,0.0112%
2025-04-03 08:47:00,0.0109%
2025-04-03 08:47:10,0.0116%
2025-04-03 08:47:20,0.0109%
2025-04-03 08:47:30,0.0110%
2025-04-03 08:47:40,0.0107%
2025-04-03 08:47:50,0.0103%
2025-04-03 08:48:00,0.0111%
2025-04-03 08:48:10,0.0109%
2025-04-03 08:48:20,0.0111%
2025-04-03 08:48:30,0.0112%
2025-04-03 08:48:40,0.0104%
2025-04-03 08:48:50,0.0102%
2025-04-03 08:49:00,0.0106%
2025-04-03 08:49:10,0.0103%
2025-04-03 08:49:20,0.0113%
2025-04-03 08:49:30,0.0104%
2025-04-03 08:49:40,0.0108%
2025-04-03 08:49:50,0.0106%
2025-04-03 08:50:00,0.0104%
2025-04-03 08:50:10,0.0105%
2025-04-03 08:50:20,0.0102%
2025-04-03 08:50:30,0.00988%
2025-04-03 08:50:40,0.0101%
2025-04-03 08:50:50,0.0104%
