"Time","Grouped CPU Load"
2025-04-03 10:10:00,5.05%
2025-04-03 10:10:10,8.78%
2025-04-03 10:10:20,8.83%
2025-04-03 10:10:30,8.81%
2025-04-03 10:10:40,8.81%
2025-04-03 10:10:50,8.85%
2025-04-03 10:11:00,8.93%
2025-04-03 10:11:10,8.55%
2025-04-03 10:11:20,8.92%
2025-04-03 10:11:30,8.97%
2025-04-03 10:11:40,8.54%
2025-04-03 10:11:50,9.00%
2025-04-03 10:12:00,8.55%
2025-04-03 10:12:10,8.97%
2025-04-03 10:12:20,8.57%
2025-04-03 10:12:30,8.52%
2025-04-03 10:12:40,9.01%
2025-04-03 10:12:50,8.50%
2025-04-03 10:13:00,9.05%
2025-04-03 10:13:10,8.56%
2025-04-03 10:13:20,9.07%
2025-04-03 10:13:30,8.55%
2025-04-03 10:13:40,9.28%
2025-04-03 10:13:50,8.53%
2025-04-03 10:14:00,9.20%
2025-04-03 10:14:10,8.52%
2025-04-03 10:14:20,9.23%
2025-04-03 10:14:30,8.55%
2025-04-03 10:14:40,9.24%
2025-04-03 10:14:50,8.56%
2025-04-03 10:15:00,9.38%
