"Time","Postgres"
2025-04-03 10:10:00,0.00667%
2025-04-03 10:10:10,0.0175%
2025-04-03 10:10:20,0.0159%
2025-04-03 10:10:30,0.0174%
2025-04-03 10:10:40,0.0155%
2025-04-03 10:10:50,0.0168%
2025-04-03 10:11:00,0.0135%
2025-04-03 10:11:10,0.0147%
2025-04-03 10:11:20,0.0135%
2025-04-03 10:11:30,0.0157%
2025-04-03 10:11:40,0.0158%
2025-04-03 10:11:50,0.0158%
2025-04-03 10:12:00,0.0123%
2025-04-03 10:12:10,0.0156%
2025-04-03 10:12:20,0.0358%
2025-04-03 10:12:30,0.0173%
2025-04-03 10:12:40,0.0151%
2025-04-03 10:12:50,0.0175%
2025-04-03 10:13:00,0.0146%
2025-04-03 10:13:10,0.0155%
2025-04-03 10:13:20,0.0147%
2025-04-03 10:13:30,0.0168%
2025-04-03 10:13:40,0.0148%
2025-04-03 10:13:50,0.0174%
2025-04-03 10:14:00,0.0146%
2025-04-03 10:14:10,0.0174%
2025-04-03 10:14:20,0.0152%
2025-04-03 10:14:30,0.0175%
2025-04-03 10:14:40,0.0136%
2025-04-03 10:14:50,0.0142%
2025-04-03 10:15:00,0.0131%
