"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 10:10:00,26.3 W
2025-04-03 10:10:01,26.9 W
2025-04-03 10:10:01,28.0 W
2025-04-03 10:10:02,27.7 W
2025-04-03 10:10:02,26.8 W
2025-04-03 10:10:03,27.5 W
2025-04-03 10:10:03,25.8 W
2025-04-03 10:10:04,26.1 W
2025-04-03 10:10:04,27.5 W
2025-04-03 10:10:05,27.0 W
2025-04-03 10:10:05,27.0 W
2025-04-03 10:10:06,27.1 W
2025-04-03 10:10:06,27.0 W
2025-04-03 10:10:07,27.0 W
2025-04-03 10:10:07,27.9 W
2025-04-03 10:10:08,27.2 W
2025-04-03 10:10:08,27.3 W
2025-04-03 10:10:09,26.1 W
2025-04-03 10:10:09,26.5 W
2025-04-03 10:10:10,26.2 W
2025-04-03 10:10:10,25.8 W
2025-04-03 10:10:11,26.0 W
2025-04-03 10:10:11,25.2 W
2025-04-03 10:10:12,24.8 W
2025-04-03 10:10:12,26.1 W
2025-04-03 10:10:13,26.4 W
2025-04-03 10:10:13,26.9 W
2025-04-03 10:10:14,26.0 W
2025-04-03 10:10:14,26.9 W
2025-04-03 10:10:15,27.8 W
2025-04-03 10:10:15,26.8 W
2025-04-03 10:10:16,26.6 W
2025-04-03 10:10:16,25.8 W
2025-04-03 10:10:17,25.9 W
2025-04-03 10:10:17,27.0 W
2025-04-03 10:10:18,25.9 W
2025-04-03 10:10:18,25.9 W
2025-04-03 10:10:19,25.9 W
2025-04-03 10:10:19,25.6 W
2025-04-03 10:10:20,26.5 W
2025-04-03 10:10:20,26.9 W
2025-04-03 10:10:21,25.4 W
2025-04-03 10:10:21,24.7 W
2025-04-03 10:10:22,25.5 W
2025-04-03 10:10:22,26.0 W
2025-04-03 10:10:23,26.0 W
2025-04-03 10:10:23,25.8 W
2025-04-03 10:10:24,26.3 W
2025-04-03 10:10:24,26.7 W
2025-04-03 10:10:25,27.1 W
2025-04-03 10:10:25,26.7 W
2025-04-03 10:10:26,26.9 W
2025-04-03 10:10:26,25.8 W
2025-04-03 10:10:27,25.7 W
2025-04-03 10:10:27,24.8 W
2025-04-03 10:10:28,26.9 W
2025-04-03 10:10:28,26.3 W
2025-04-03 10:10:29,25.3 W
2025-04-03 10:10:29,26.0 W
2025-04-03 10:10:30,26.6 W
2025-04-03 10:10:30,26.1 W
2025-04-03 10:10:31,26.4 W
2025-04-03 10:10:31,25.3 W
2025-04-03 10:10:32,26.9 W
2025-04-03 10:10:32,26.3 W
2025-04-03 10:10:33,25.9 W
2025-04-03 10:10:33,26.0 W
2025-04-03 10:10:34,26.6 W
2025-04-03 10:10:34,26.6 W
2025-04-03 10:10:35,26.7 W
2025-04-03 10:10:35,26.4 W
2025-04-03 10:10:36,26.6 W
2025-04-03 10:10:36,26.8 W
2025-04-03 10:10:37,27.3 W
2025-04-03 10:10:37,27.7 W
2025-04-03 10:10:38,26.0 W
2025-04-03 10:10:38,25.4 W
2025-04-03 10:10:39,25.3 W
2025-04-03 10:10:39,28.1 W
2025-04-03 10:10:40,29.1 W
2025-04-03 10:10:40,27.1 W
2025-04-03 10:10:41,27.8 W
2025-04-03 10:10:41,27.0 W
2025-04-03 10:10:42,26.3 W
2025-04-03 10:10:42,26.2 W
2025-04-03 10:10:43,26.8 W
2025-04-03 10:10:43,26.2 W
