"Time","Grouped CPU Load"
2025-04-03 12:09:40,27.8%
2025-04-03 12:09:50,27.7%
2025-04-03 12:10:00,27.4%
2025-04-03 12:10:10,28.2%
2025-04-03 12:10:20,27.7%
2025-04-03 12:10:30,28.2%
2025-04-03 12:10:40,27.1%
2025-04-03 12:10:50,28.1%
2025-04-03 12:11:00,27.3%
2025-04-03 12:11:10,27.4%
2025-04-03 12:11:20,28.1%
2025-04-03 12:11:30,27.1%
2025-04-03 12:11:40,28.0%
2025-04-03 12:11:50,27.4%
2025-04-03 12:12:00,27.8%
2025-04-03 12:12:10,28.1%
2025-04-03 12:12:20,27.1%
2025-04-03 12:12:30,27.8%
2025-04-03 12:12:40,27.8%
2025-04-03 12:12:50,27.1%
2025-04-03 12:13:00,27.9%
2025-04-03 12:13:10,28.4%
2025-04-03 12:13:20,27.2%
2025-04-03 12:13:30,27.1%
2025-04-03 12:13:40,27.9%
2025-04-03 12:13:50,28.0%
2025-04-03 12:14:00,27.2%
2025-04-03 12:14:10,27.8%
2025-04-03 12:14:20,28.1%
2025-04-03 12:14:30,27.4%
2025-04-03 12:14:40,26.9%
