"Time","Postgres"
2025-04-03 12:03:30,1.91%
2025-04-03 12:03:40,1.88%
2025-04-03 12:03:50,1.98%
2025-04-03 12:04:00,1.88%
2025-04-03 12:04:10,1.94%
2025-04-03 12:04:20,1.84%
2025-04-03 12:04:30,1.96%
2025-04-03 12:04:40,1.89%
2025-04-03 12:04:50,1.88%
2025-04-03 12:05:00,1.88%
2025-04-03 12:05:10,1.83%
2025-04-03 12:05:20,1.94%
2025-04-03 12:05:30,1.81%
2025-04-03 12:05:40,1.82%
2025-04-03 12:05:50,1.82%
2025-04-03 12:06:00,1.74%
2025-04-03 12:06:10,1.84%
2025-04-03 12:06:20,1.85%
2025-04-03 12:06:30,1.73%
2025-04-03 12:06:40,1.82%
2025-04-03 12:06:50,1.85%
2025-04-03 12:07:00,1.76%
2025-04-03 12:07:10,1.82%
2025-04-03 12:07:20,1.86%
2025-04-03 12:07:30,1.74%
2025-04-03 12:07:40,1.74%
2025-04-03 12:07:50,1.86%
2025-04-03 12:08:00,1.79%
2025-04-03 12:08:10,1.72%
2025-04-03 12:08:20,1.76%
2025-04-03 12:08:30,1.86%
