"Time","Grouped CPU Load"
2025-04-03 12:47:00,45.0%
2025-04-03 12:47:10,63.2%
2025-04-03 12:47:20,64.6%
2025-04-03 12:47:30,64.5%
2025-04-03 12:47:40,66.2%
2025-04-03 12:47:50,64.2%
2025-04-03 12:48:00,64.4%
2025-04-03 12:48:10,64.8%
2025-04-03 12:48:20,63.7%
2025-04-03 12:48:30,63.9%
2025-04-03 12:48:40,63.5%
2025-04-03 12:48:50,64.3%
2025-04-03 12:49:00,63.0%
2025-04-03 12:49:10,64.9%
2025-04-03 12:49:20,63.2%
2025-04-03 12:49:30,62.1%
2025-04-03 12:49:40,63.1%
2025-04-03 12:49:50,65.2%
2025-04-03 12:50:00,60.9%
2025-04-03 12:50:10,63.4%
2025-04-03 12:50:20,62.1%
2025-04-03 12:50:30,64.3%
2025-04-03 12:50:40,65.5%
2025-04-03 12:50:50,61.5%
2025-04-03 12:51:00,63.5%
2025-04-03 12:51:10,61.8%
2025-04-03 12:51:20,62.6%
2025-04-03 12:51:30,61.8%
2025-04-03 12:51:40,62.3%
2025-04-03 12:51:50,63.3%
2025-04-03 12:52:00,63.5%
