"Time","Redis"
2025-04-03 12:47:00,0.0105%
2025-04-03 12:47:10,0.0121%
2025-04-03 12:47:20,0.0119%
2025-04-03 12:47:30,0.0115%
2025-04-03 12:47:40,0.0115%
2025-04-03 12:47:50,0.0118%
2025-04-03 12:48:00,0.0122%
2025-04-03 12:48:10,0.0120%
2025-04-03 12:48:20,0.0121%
2025-04-03 12:48:30,0.0117%
2025-04-03 12:48:40,0.0120%
2025-04-03 12:48:50,0.0118%
2025-04-03 12:49:00,0.0118%
2025-04-03 12:49:10,0.0117%
2025-04-03 12:49:20,0.0124%
2025-04-03 12:49:30,0.0122%
2025-04-03 12:49:40,0.0122%
2025-04-03 12:49:50,0.0114%
2025-04-03 12:50:00,0.0117%
2025-04-03 12:50:10,0.0116%
2025-04-03 12:50:20,0.0124%
2025-04-03 12:50:30,0.0116%
2025-04-03 12:50:40,0.0120%
2025-04-03 12:50:50,0.0121%
2025-04-03 12:51:00,0.0120%
2025-04-03 12:51:10,0.0124%
2025-04-03 12:51:20,0.0122%
2025-04-03 12:51:30,0.0121%
2025-04-03 12:51:40,0.0120%
2025-04-03 12:51:50,0.0121%
2025-04-03 12:52:00,0.0114%
