"Time","GraphQL server"
2025-04-03 12:16:40,66.2%
2025-04-03 12:16:50,62.3%
2025-04-03 12:17:00,64.2%
2025-04-03 12:17:10,65.2%
2025-04-03 12:17:20,60.0%
2025-04-03 12:17:30,66.9%
2025-04-03 12:17:40,66.6%
2025-04-03 12:17:50,65.4%
2025-04-03 12:18:00,64.3%
2025-04-03 12:18:10,67.1%
2025-04-03 12:18:20,67.0%
2025-04-03 12:18:30,67.1%
2025-04-03 12:18:40,64.6%
2025-04-03 12:18:50,65.2%
2025-04-03 12:19:00,66.5%
2025-04-03 12:19:10,65.2%
2025-04-03 12:19:20,67.0%
2025-04-03 12:19:30,65.5%
2025-04-03 12:19:40,66.1%
2025-04-03 12:19:50,65.4%
2025-04-03 12:20:00,65.9%
2025-04-03 12:20:10,66.3%
2025-04-03 12:20:20,65.5%
2025-04-03 12:20:30,66.3%
2025-04-03 12:20:40,66.7%
2025-04-03 12:20:50,68.2%
2025-04-03 12:21:00,67.5%
2025-04-03 12:21:10,67.8%
2025-04-03 12:21:20,66.0%
2025-04-03 12:21:30,67.6%
2025-04-03 12:21:40,68.1%
