"Time","Grouped CPU Load"
2025-04-03 13:09:50,18.2%
2025-04-03 13:10:00,59.8%
2025-04-03 13:10:10,59.2%
2025-04-03 13:10:20,58.8%
2025-04-03 13:10:30,59.8%
2025-04-03 13:10:40,62.6%
2025-04-03 13:10:50,57.8%
2025-04-03 13:11:00,57.8%
2025-04-03 13:11:10,59.4%
2025-04-03 13:11:20,61.3%
2025-04-03 13:11:30,62.5%
2025-04-03 13:11:40,63.6%
2025-04-03 13:11:50,62.4%
2025-04-03 13:12:00,65.8%
2025-04-03 13:12:10,62.2%
2025-04-03 13:12:20,61.7%
2025-04-03 13:12:30,60.2%
2025-04-03 13:12:40,60.6%
2025-04-03 13:12:50,58.8%
2025-04-03 13:13:00,57.1%
2025-04-03 13:13:10,58.6%
2025-04-03 13:13:20,58.7%
2025-04-03 13:13:30,57.5%
2025-04-03 13:13:40,59.3%
2025-04-03 13:13:50,59.6%
2025-04-03 13:14:00,57.8%
2025-04-03 13:14:10,59.9%
2025-04-03 13:14:20,58.9%
2025-04-03 13:14:30,59.2%
2025-04-03 13:14:40,64.1%
2025-04-03 13:14:50,62.8%
