"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 13:09:56,31.8 W
2025-04-03 13:09:56,36.2 W
2025-04-03 13:09:57,31.4 W
2025-04-03 13:09:57,36.3 W
2025-04-03 13:09:58,32.0 W
2025-04-03 13:09:58,35.0 W
2025-04-03 13:09:59,32.4 W
2025-04-03 13:09:59,35.2 W
2025-04-03 13:10:00,34.0 W
2025-04-03 13:10:00,33.2 W
2025-04-03 13:10:01,35.9 W
2025-04-03 13:10:01,31.6 W
2025-04-03 13:10:02,35.8 W
2025-04-03 13:10:02,32.8 W
2025-04-03 13:10:03,36.2 W
2025-04-03 13:10:03,32.3 W
2025-04-03 13:10:04,35.9 W
2025-04-03 13:10:04,31.8 W
2025-04-03 13:10:05,36.5 W
2025-04-03 13:10:05,31.6 W
2025-04-03 13:10:06,35.6 W
2025-04-03 13:10:06,31.2 W
2025-04-03 13:10:07,35.8 W
2025-04-03 13:10:07,31.4 W
2025-04-03 13:10:08,35.8 W
2025-04-03 13:10:08,32.4 W
2025-04-03 13:10:09,35.1 W
2025-04-03 13:10:09,34.6 W
2025-04-03 13:10:10,33.4 W
2025-04-03 13:10:10,35.8 W
2025-04-03 13:10:11,32.0 W
2025-04-03 13:10:11,36.5 W
2025-04-03 13:10:12,32.2 W
2025-04-03 13:10:12,36.1 W
2025-04-03 13:10:13,31.4 W
2025-04-03 13:10:13,35.6 W
2025-04-03 13:10:14,31.8 W
2025-04-03 13:10:14,36.0 W
2025-04-03 13:10:15,31.5 W
2025-04-03 13:10:15,35.9 W
2025-04-03 13:10:16,32.6 W
2025-04-03 13:10:16,35.9 W
2025-04-03 13:10:17,31.1 W
2025-04-03 13:10:17,35.0 W
2025-04-03 13:10:18,32.1 W
2025-04-03 13:10:18,36.5 W
2025-04-03 13:10:19,32.1 W
2025-04-03 13:10:19,35.6 W
2025-04-03 13:10:20,33.5 W
2025-04-03 13:10:20,33.0 W
2025-04-03 13:10:21,34.2 W
2025-04-03 13:10:21,31.0 W
2025-04-03 13:10:22,33.3 W
2025-04-03 13:10:22,33.1 W
2025-04-03 13:10:23,34.9 W
2025-04-03 13:10:23,32.8 W
2025-04-03 13:10:24,34.5 W
2025-04-03 13:10:24,33.3 W
2025-04-03 13:10:25,36.4 W
2025-04-03 13:10:25,31.8 W
2025-04-03 13:10:26,35.5 W
2025-04-03 13:10:26,32.5 W
2025-04-03 13:10:27,36.6 W
2025-04-03 13:10:27,32.2 W
2025-04-03 13:10:28,35.6 W
2025-04-03 13:10:28,31.7 W
2025-04-03 13:10:29,35.2 W
2025-04-03 13:10:29,30.3 W
2025-04-03 13:10:30,34.5 W
2025-04-03 13:10:30,30.8 W
2025-04-03 13:10:31,34.6 W
2025-04-03 13:10:31,29.8 W
2025-04-03 13:10:32,34.5 W
2025-04-03 13:10:32,29.7 W
2025-04-03 13:10:33,34.5 W
2025-04-03 13:10:33,29.9 W
2025-04-03 13:10:34,34.6 W
2025-04-03 13:10:34,30.2 W
2025-04-03 13:10:35,34.7 W
2025-04-03 13:10:35,30.0 W
2025-04-03 13:10:36,34.4 W
2025-04-03 13:10:36,30.5 W
2025-04-03 13:10:37,36.0 W
2025-04-03 13:10:37,32.0 W
2025-04-03 13:10:38,36.4 W
2025-04-03 13:10:38,34.1 W
2025-04-03 13:10:39,34.0 W
2025-04-03 13:10:39,36.1 W
2025-04-03 13:10:40,31.8 W
2025-04-03 13:10:40,36.0 W
2025-04-03 13:10:41,32.1 W
2025-04-03 13:10:41,36.2 W
2025-04-03 13:10:42,32.4 W
2025-04-03 13:10:42,35.5 W
2025-04-03 13:10:43,31.8 W
2025-04-03 13:10:43,32.7 W
2025-04-03 13:10:44,34.1 W
2025-04-03 13:10:44,36.0 W
2025-04-03 13:10:45,33.7 W
2025-04-03 13:10:45,33.7 W
2025-04-03 13:10:46,34.8 W
2025-04-03 13:10:46,35.1 W
2025-04-03 13:10:47,34.3 W
2025-04-03 13:10:47,35.8 W
2025-04-03 13:10:48,32.0 W
2025-04-03 13:10:48,32.5 W
2025-04-03 13:10:49,36.3 W
2025-04-03 13:10:49,33.0 W
2025-04-03 13:10:50,35.2 W
2025-04-03 13:10:50,33.8 W
2025-04-03 13:10:51,32.9 W
2025-04-03 13:10:51,36.0 W
2025-04-03 13:10:52,32.5 W
2025-04-03 13:10:52,36.1 W
2025-04-03 13:10:53,33.0 W
2025-04-03 13:10:53,36.2 W
2025-04-03 13:10:54,32.6 W
2025-04-03 13:10:54,36.0 W
2025-04-03 13:10:55,31.4 W
2025-04-03 13:10:55,35.5 W
2025-04-03 13:10:56,31.8 W
2025-04-03 13:10:56,35.7 W
2025-04-03 13:10:57,31.9 W
2025-04-03 13:10:57,35.6 W
2025-04-03 13:10:58,32.6 W
2025-04-03 13:10:58,35.4 W
2025-04-03 13:10:59,32.1 W
2025-04-03 13:10:59,35.3 W
2025-04-03 13:11:00,32.2 W
2025-04-03 13:11:00,35.5 W
2025-04-03 13:11:01,31.6 W
2025-04-03 13:11:01,35.2 W
2025-04-03 13:11:02,32.0 W
2025-04-03 13:11:02,34.8 W
2025-04-03 13:11:03,31.9 W
2025-04-03 13:11:03,34.1 W
2025-04-03 13:11:04,30.8 W
2025-04-03 13:11:04,34.8 W
2025-04-03 13:11:05,33.3 W
2025-04-03 13:11:05,35.4 W
2025-04-03 13:11:06,34.5 W
2025-04-03 13:11:06,33.4 W
2025-04-03 13:11:07,33.6 W
2025-04-03 13:11:07,33.2 W
2025-04-03 13:11:08,32.3 W
2025-04-03 13:11:08,33.0 W
2025-04-03 13:11:09,31.0 W
2025-04-03 13:11:09,34.3 W
2025-04-03 13:11:10,30.8 W
2025-04-03 13:11:10,33.8 W
2025-04-03 13:11:11,31.1 W
2025-04-03 13:11:11,34.5 W
2025-04-03 13:11:12,32.4 W
2025-04-03 13:11:12,35.8 W
2025-04-03 13:11:13,32.0 W
2025-04-03 13:11:13,34.8 W
2025-04-03 13:11:14,32.9 W
2025-04-03 13:11:14,33.5 W
2025-04-03 13:11:15,33.3 W
2025-04-03 13:11:15,33.9 W
2025-04-03 13:11:16,33.7 W
2025-04-03 13:11:16,34.9 W
2025-04-03 13:11:17,32.9 W
2025-04-03 13:11:17,33.6 W
2025-04-03 13:11:18,31.4 W
2025-04-03 13:11:18,34.5 W
