"Time","Redis"
2025-04-03 13:23:20,0.0118%
2025-04-03 13:23:30,0.0115%
2025-04-03 13:23:40,0.0118%
2025-04-03 13:23:50,0.0118%
2025-04-03 13:24:00,0.0117%
2025-04-03 13:24:10,0.0119%
2025-04-03 13:24:20,0.0119%
2025-04-03 13:24:30,0.0119%
2025-04-03 13:24:40,0.0117%
2025-04-03 13:24:50,0.0124%
2025-04-03 13:25:00,0.0120%
2025-04-03 13:25:10,0.0124%
2025-04-03 13:25:20,0.0116%
2025-04-03 13:25:30,0.0112%
2025-04-03 13:25:40,0.0121%
2025-04-03 13:25:50,0.0118%
2025-04-03 13:26:00,0.0122%
2025-04-03 13:26:10,0.0124%
2025-04-03 13:26:20,0.0121%
2025-04-03 13:26:30,0.0117%
2025-04-03 13:26:40,0.0114%
2025-04-03 13:26:50,0.0116%
2025-04-03 13:27:00,0.0113%
2025-04-03 13:27:10,0.0112%
2025-04-03 13:27:20,0.0115%
2025-04-03 13:27:30,0.0112%
2025-04-03 13:27:40,0.0116%
2025-04-03 13:27:50,0.0121%
2025-04-03 13:28:00,0.0119%
2025-04-03 13:28:10,0.0112%
2025-04-03 13:28:20,0.0113%
