"Time","Grouped CPU Load"
2025-04-02 11:21:30,0.0109%
2025-04-02 11:21:40,0.00922%
2025-04-02 11:21:50,0.0111%
2025-04-02 11:22:00,0.00903%
2025-04-02 11:22:10,0.0107%
2025-04-02 11:22:20,0.00926%
2025-04-02 11:22:30,0.0112%
2025-04-02 11:22:40,0.00917%
2025-04-02 11:22:50,0.0115%
2025-04-02 11:23:00,0.0103%
2025-04-02 11:23:10,0.0113%
2025-04-02 11:23:20,0.00953%
2025-04-02 11:23:30,0.0112%
2025-04-02 11:23:40,0.00930%
2025-04-02 11:23:50,0.0111%
2025-04-02 11:24:00,0.00955%
2025-04-02 11:24:10,0.0104%
2025-04-02 11:24:20,0.00854%
2025-04-02 11:24:30,0.0108%
2025-04-02 11:24:40,0.00940%
2025-04-02 11:24:50,0.0112%
2025-04-02 11:25:00,0.00830%
2025-04-02 11:25:10,0.0113%
2025-04-02 11:25:20,0.0102%
2025-04-02 11:25:30,0.0119%
2025-04-02 11:25:40,0.0103%
2025-04-02 11:25:50,0.0114%
2025-04-02 11:26:00,0.00884%
2025-04-02 11:26:10,0.0116%
2025-04-02 11:26:20,0.00914%
2025-04-02 11:26:30,0.0116%
