"Time","Grouped CPU Load"
2025-04-17 22:27:30,0.00893%
2025-04-17 22:27:45,0.0102%
2025-04-17 22:28:00,0.00983%
2025-04-17 22:28:15,0.0125%
2025-04-17 22:28:30,0.00902%
2025-04-17 22:28:45,0.0104%
2025-04-17 22:29:00,0.00935%
2025-04-17 22:29:15,0.00907%
2025-04-17 22:29:30,0.00957%
2025-04-17 22:29:45,0.00947%
2025-04-17 22:30:00,0.0101%
2025-04-17 22:30:15,0.0139%
2025-04-17 22:30:30,0.00921%
2025-04-17 22:30:45,0.00992%
2025-04-17 22:31:00,0.00944%
2025-04-17 22:31:15,0.0132%
2025-04-17 22:31:30,0.00933%
2025-04-17 22:31:45,0.00983%
2025-04-17 22:32:00,0.00988%
2025-04-17 22:32:15,0.0130%
2025-04-17 22:32:30,0.00967%
