"Time","Postgres"
2025-04-08 12:20:15,0.00351%
2025-04-08 12:20:30,0.0000879%
2025-04-08 12:20:45,0.0000255%
2025-04-08 12:21:00,0.0000725%
2025-04-08 12:21:15,0.00318%
2025-04-08 12:21:30,0.0000601%
2025-04-08 12:21:45,0.0000211%
2025-04-08 12:22:00,0.0000559%
2025-04-08 12:22:15,0.00371%
2025-04-08 12:22:30,0.0000241%
2025-04-08 12:22:45,0.0000561%
2025-04-08 12:23:00,0.0000310%
2025-04-08 12:23:15,0.00420%
2025-04-08 12:23:30,0.0000195%
2025-04-08 12:23:45,0.0000926%
2025-04-08 12:24:00,0.0000162%
2025-04-08 12:24:15,0.00276%
2025-04-08 12:24:30,0.0000224%
2025-04-08 12:24:45,0.0000778%
2025-04-08 12:25:00,0.0000420%
2025-04-08 12:25:15,0.00316%
