"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-08 12:20:21,14.5 W
2025-04-08 12:20:22,14.4 W
2025-04-08 12:20:22,15.3 W
2025-04-08 12:20:23,14.9 W
2025-04-08 12:20:23,14.9 W
2025-04-08 12:20:24,14.6 W
2025-04-08 12:20:24,17.6 W
2025-04-08 12:20:25,16.7 W
2025-04-08 12:20:25,14.8 W
2025-04-08 12:20:26,14.1 W
2025-04-08 12:20:26,14.2 W
2025-04-08 12:20:27,13.7 W
2025-04-08 12:20:27,15.4 W
2025-04-08 12:20:28,19.5 W
2025-04-08 12:20:28,18.8 W
2025-04-08 12:20:29,19.8 W
2025-04-08 12:20:29,18.5 W
2025-04-08 12:20:30,19.3 W
2025-04-08 12:20:30,16.9 W
2025-04-08 12:20:31,16.3 W
2025-04-08 12:20:31,18.8 W
2025-04-08 12:20:32,17.9 W
2025-04-08 12:20:32,20.3 W
2025-04-08 12:20:33,19.0 W
2025-04-08 12:20:33,19.0 W
2025-04-08 12:20:34,19.2 W
2025-04-08 12:20:34,19.3 W
2025-04-08 12:20:35,19.5 W
2025-04-08 12:20:35,17.8 W
2025-04-08 12:20:36,19.0 W
2025-04-08 12:20:36,15.7 W
2025-04-08 12:20:37,14.7 W
2025-04-08 12:20:37,14.8 W
2025-04-08 12:20:38,19.4 W
2025-04-08 12:20:38,17.5 W
2025-04-08 12:20:39,16.0 W
2025-04-08 12:20:39,15.8 W
2025-04-08 12:20:40,15.9 W
2025-04-08 12:20:40,18.2 W
2025-04-08 12:20:41,17.9 W
2025-04-08 12:20:41,19.2 W
2025-04-08 12:20:42,16.9 W
2025-04-08 12:20:42,20.0 W
2025-04-08 12:20:43,17.3 W
2025-04-08 12:20:43,15.7 W
2025-04-08 12:20:44,14.3 W
2025-04-08 12:20:44,13.8 W
2025-04-08 12:20:45,16.4 W
2025-04-08 12:20:45,21.0 W
2025-04-08 12:20:46,18.5 W
