"Time","Redis"
2025-04-02 11:21:30,0.00914%
2025-04-02 11:21:40,0.00918%
2025-04-02 11:21:50,0.00920%
2025-04-02 11:22:00,0.00899%
2025-04-02 11:22:10,0.00853%
2025-04-02 11:22:20,0.00918%
2025-04-02 11:22:30,0.00921%
2025-04-02 11:22:40,0.00912%
2025-04-02 11:22:50,0.00957%
2025-04-02 11:23:00,0.0103%
2025-04-02 11:23:10,0.00900%
2025-04-02 11:23:20,0.00948%
2025-04-02 11:23:30,0.00933%
2025-04-02 11:23:40,0.00926%
2025-04-02 11:23:50,0.00897%
2025-04-02 11:24:00,0.00950%
2025-04-02 11:24:10,0.00858%
2025-04-02 11:24:20,0.00847%
2025-04-02 11:24:30,0.00852%
2025-04-02 11:24:40,0.00935%
2025-04-02 11:24:50,0.00930%
2025-04-02 11:25:00,0.00826%
2025-04-02 11:25:10,0.00889%
2025-04-02 11:25:20,0.0101%
2025-04-02 11:25:30,0.0100%
2025-04-02 11:25:40,0.0102%
2025-04-02 11:25:50,0.00933%
2025-04-02 11:26:00,0.00880%
2025-04-02 11:26:10,0.00919%
2025-04-02 11:26:20,0.00904%
2025-04-02 11:26:30,0.00955%
