"Time","Redis"
2025-04-08 12:20:15,0.00944%
2025-04-08 12:20:30,0.00921%
2025-04-08 12:20:45,0.00955%
2025-04-08 12:21:00,0.00900%
2025-04-08 12:21:15,0.00884%
2025-04-08 12:21:30,0.00903%
2025-04-08 12:21:45,0.00890%
2025-04-08 12:22:00,0.00929%
2025-04-08 12:22:15,0.00852%
2025-04-08 12:22:30,0.00938%
2025-04-08 12:22:45,0.00939%
2025-04-08 12:23:00,0.00973%
2025-04-08 12:23:15,0.00867%
2025-04-08 12:23:30,0.00908%
2025-04-08 12:23:45,0.00959%
2025-04-08 12:24:00,0.00967%
2025-04-08 12:24:15,0.00844%
2025-04-08 12:24:30,0.00946%
2025-04-08 12:24:45,0.00906%
2025-04-08 12:25:00,0.00965%
2025-04-08 12:25:15,0.00898%
