"Time","GraphQL server"
2025-04-17 22:27:30,0%
2025-04-17 22:27:45,0%
2025-04-17 22:28:00,0%
2025-04-17 22:28:15,0%
2025-04-17 22:28:30,0%
2025-04-17 22:28:45,0%
2025-04-17 22:29:00,0%
2025-04-17 22:29:15,0%
2025-04-17 22:29:30,0.0000873%
2025-04-17 22:29:45,0%
2025-04-17 22:30:00,0%
2025-04-17 22:30:15,0%
2025-04-17 22:30:30,0%
2025-04-17 22:30:45,0%
2025-04-17 22:31:00,0.0000917%
2025-04-17 22:31:15,0%
2025-04-17 22:31:30,0%
2025-04-17 22:31:45,0%
2025-04-17 22:32:00,0%
2025-04-17 22:32:15,0%
2025-04-17 22:32:30,0%
