"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-postgres_db-1""}[5m])) / 12
"
2025-04-03 13:02:10,1.46%
2025-04-03 13:02:15,1.43%
2025-04-03 13:02:20,1.42%
2025-04-03 13:02:25,1.39%
2025-04-03 13:02:30,1.38%
2025-04-03 13:02:35,1.37%
2025-04-03 13:02:40,0.988%
2025-04-03 13:02:45,1.37%
2025-04-03 13:02:50,1.40%
2025-04-03 13:02:55,1.43%
2025-04-03 13:03:00,1.58%
2025-04-03 13:03:05,1.48%
2025-04-03 13:03:10,2.32%
2025-04-03 13:03:15,1.75%
2025-04-03 13:03:20,1.40%
2025-04-03 13:03:25,1.55%
2025-04-03 13:03:30,1.34%
2025-04-03 13:03:35,1.69%
2025-04-03 13:03:40,1.44%
2025-04-03 13:03:45,1.70%
2025-04-03 13:03:50,1.34%
2025-04-03 13:03:55,1.55%
2025-04-03 13:04:00,1.55%
2025-04-03 13:04:05,1.55%
2025-04-03 13:04:10,1.42%
2025-04-03 13:04:15,1.39%
2025-04-03 13:04:20,1.38%
2025-04-03 13:04:25,1.34%
2025-04-03 13:04:30,1.47%
2025-04-03 13:04:35,1.53%
2025-04-03 13:04:40,1.43%
2025-04-03 13:04:45,1.45%
2025-04-03 13:04:50,1.40%
2025-04-03 13:04:55,1.42%
2025-04-03 13:05:00,1.24%
2025-04-03 13:05:05,1.77%
2025-04-03 13:05:10,1.37%
2025-04-03 13:05:15,1.23%
2025-04-03 13:05:20,1.87%
2025-04-03 13:05:25,1.48%
2025-04-03 13:05:30,1.24%
2025-04-03 13:05:35,1.62%
2025-04-03 13:05:40,1.60%
2025-04-03 13:05:45,1.24%
2025-04-03 13:05:50,1.44%
2025-04-03 13:05:55,1.71%
2025-04-03 13:06:00,1.23%
2025-04-03 13:06:05,1.70%
2025-04-03 13:06:10,1.79%
2025-04-03 13:06:15,1.26%
2025-04-03 13:06:20,1.59%
2025-04-03 13:06:25,1.67%
2025-04-03 13:06:30,1.24%
2025-04-03 13:06:35,1.53%
2025-04-03 13:06:40,1.65%
2025-04-03 13:06:45,1.36%
2025-04-03 13:06:50,1.88%
2025-04-03 13:06:55,1.47%
2025-04-03 13:07:00,1.39%
2025-04-03 13:07:05,1.52%
2025-04-03 13:07:10,1.57%
