Time,"power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 13:10:34,6.15 W
2025-04-03 13:10:39,6.17 W
2025-04-03 13:10:44,6.46 W
2025-04-03 13:10:49,6.29 W
2025-04-03 13:10:54,6.40 W
2025-04-03 13:10:59,6.36 W
2025-04-03 13:11:04,6.38 W
2025-04-03 13:11:09,6.23 W
2025-04-03 13:11:14,6.29 W
2025-04-03 13:11:19,6.38 W
2025-04-03 13:11:24,6.44 W
2025-04-03 13:11:29,6.26 W
2025-04-03 13:11:34,6.20 W
2025-04-03 13:11:39,5.83 W
2025-04-03 13:11:44,6.28 W
2025-04-03 13:11:49,6.20 W
2025-04-03 13:11:54,6.19 W
2025-04-03 13:11:59,6.32 W
2025-04-03 13:12:04,6.38 W
2025-04-03 13:12:09,6.24 W
2025-04-03 13:12:14,6.30 W
2025-04-03 13:12:19,6.37 W
2025-04-03 13:12:24,6.27 W
2025-04-03 13:12:29,6.44 W
2025-04-03 13:12:34,6.21 W
2025-04-03 13:12:39,6.96 W
2025-04-03 13:12:44,6.49 W
2025-04-03 13:12:49,6.24 W
2025-04-03 13:12:54,6.49 W
2025-04-03 13:12:59,7.06 W
2025-04-03 13:13:04,6.58 W
2025-04-03 13:13:09,6.26 W
2025-04-03 13:13:14,6.64 W
2025-04-03 13:13:19,6.90 W
2025-04-03 13:13:24,6.50 W
2025-04-03 13:13:29,6.11 W
2025-04-03 13:13:34,6.27 W
2025-04-03 13:13:39,6.84 W
2025-04-03 13:13:44,6.34 W
2025-04-03 13:13:49,6.33 W
2025-04-03 13:13:54,6.51 W
2025-04-03 13:13:59,6.13 W
2025-04-03 13:14:04,6.87 W
2025-04-03 13:14:09,6.35 W
2025-04-03 13:14:14,6.18 W
2025-04-03 13:14:19,6.77 W
2025-04-03 13:14:24,6.74 W
2025-04-03 13:14:29,5.99 W
2025-04-03 13:14:34,6.13 W
2025-04-03 13:14:39,6.2 W
2025-04-03 13:14:44,6.1 W
2025-04-03 13:14:49,7.24 W
2025-04-03 13:14:54,6.46 W
2025-04-03 13:14:59,7.13 W
2025-04-03 13:15:04,6.71 W
