"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 13:29:40,7.91 W
2025-04-03 13:29:45,7.72 W
2025-04-03 13:29:50,6.69 W
2025-04-03 13:29:55,6.92 W
2025-04-03 13:30:00,6.84 W
2025-04-03 13:30:05,7.12 W
2025-04-03 13:30:10,7.13 W
2025-04-03 13:30:15,7.10 W
2025-04-03 13:30:20,7.47 W
2025-04-03 13:30:25,6.75 W
2025-04-03 13:30:30,7.13 W
2025-04-03 13:30:35,7.12 W
2025-04-03 13:30:40,6.72 W
2025-04-03 13:30:45,7.06 W
2025-04-03 13:30:50,6.97 W
2025-04-03 13:30:55,6.74 W
2025-04-03 13:31:00,6.96 W
2025-04-03 13:31:05,6.84 W
2025-04-03 13:31:10,6.84 W
2025-04-03 13:31:15,6.83 W
2025-04-03 13:31:20,6.71 W
2025-04-03 13:31:25,6.80 W
2025-04-03 13:31:30,6.86 W
2025-04-03 13:31:35,6.80 W
2025-04-03 13:31:40,6.60 W
2025-04-03 13:31:45,6.83 W
2025-04-03 13:31:50,6.66 W
2025-04-03 13:31:55,6.76 W
2025-04-03 13:32:00,6.79 W
2025-04-03 13:32:05,6.73 W
2025-04-03 13:32:10,6.50 W
2025-04-03 13:32:15,6.61 W
2025-04-03 13:32:20,6.93 W
2025-04-03 13:32:25,6.81 W
2025-04-03 13:32:30,6.53 W
2025-04-03 13:32:35,6.91 W
2025-04-03 13:32:40,6.67 W
2025-04-03 13:32:45,6.79 W
2025-04-03 13:32:50,6.59 W
2025-04-03 13:32:55,6.61 W
2025-04-03 13:33:00,6.75 W
2025-04-03 13:33:05,6.71 W
2025-04-03 13:33:10,6.62 W
2025-04-03 13:33:15,7.99 W
2025-04-03 13:33:20,6.76 W
2025-04-03 13:33:25,6.64 W
2025-04-03 13:33:30,6.63 W
2025-04-03 13:33:35,6.86 W
2025-04-03 13:33:40,6.70 W
2025-04-03 13:33:45,6.76 W
2025-04-03 13:33:50,6.81 W
2025-04-03 13:33:55,6.70 W
2025-04-03 13:34:00,6.76 W
2025-04-03 13:34:05,7.50 W
2025-04-03 13:34:10,6.75 W
