"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-redis-1""}[5m])) / 12
"
2025-04-03 13:40:50,0.0604%
2025-04-03 13:40:55,0.0618%
2025-04-03 13:41:00,0.0627%
2025-04-03 13:41:05,0.0617%
2025-04-03 13:41:10,0.0632%
2025-04-03 13:41:15,0.0649%
2025-04-03 13:41:20,0.0620%
2025-04-03 13:41:25,0.0611%
2025-04-03 13:41:30,0.0642%
2025-04-03 13:41:35,0.0626%
2025-04-03 13:41:40,0.0636%
2025-04-03 13:41:45,0.0627%
2025-04-03 13:41:50,0.0607%
2025-04-03 13:41:55,0.0619%
2025-04-03 13:42:00,0.0635%
2025-04-03 13:42:05,0.0631%
2025-04-03 13:42:10,0.0622%
2025-04-03 13:42:15,0.0605%
2025-04-03 13:42:20,0.0637%
2025-04-03 13:42:25,0.0604%
2025-04-03 13:42:30,0.0627%
2025-04-03 13:42:35,0.0628%
2025-04-03 13:42:40,0.0622%
2025-04-03 13:42:45,0.0615%
2025-04-03 13:42:50,0.0621%
2025-04-03 13:42:55,0.0616%
2025-04-03 13:43:00,0.0641%
2025-04-03 13:43:05,0.0633%
2025-04-03 13:43:10,0.0632%
2025-04-03 13:43:15,0.0630%
2025-04-03 13:43:20,0.0620%
2025-04-03 13:43:25,0.0629%
2025-04-03 13:43:30,0.0631%
2025-04-03 13:43:35,0.0634%
2025-04-03 13:43:40,0.0608%
2025-04-03 13:43:45,0.0639%
2025-04-03 13:43:50,0.0657%
2025-04-03 13:43:55,0.0627%
2025-04-03 13:44:00,0.0632%
2025-04-03 13:44:05,0.0632%
2025-04-03 13:44:10,0.0633%
2025-04-03 13:44:15,0.0614%
2025-04-03 13:44:20,0.0628%
2025-04-03 13:44:25,0.0628%
2025-04-03 13:44:30,0.0652%
2025-04-03 13:44:35,0.0610%
2025-04-03 13:44:40,0.0619%
2025-04-03 13:44:45,0.0613%
2025-04-03 13:44:50,0.0655%
2025-04-03 13:44:55,0.0654%
2025-04-03 13:45:00,0.0630%
2025-04-03 13:45:05,0.0614%
2025-04-03 13:45:10,0.0635%
2025-04-03 13:45:15,0.0633%
2025-04-03 13:45:20,0.0611%
2025-04-03 13:45:25,0.0628%
2025-04-03 13:45:30,0.0623%
2025-04-03 13:45:35,0.0613%
2025-04-03 13:45:40,0.0636%
2025-04-03 13:45:45,0.0616%
2025-04-03 13:45:50,0.0634%
