"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-03 14:06:00,64.7%
2025-04-03 14:06:05,64.9%
2025-04-03 14:06:10,58.6%
2025-04-03 14:06:15,65.8%
2025-04-03 14:06:20,63.1%
2025-04-03 14:06:25,66.9%
2025-04-03 14:06:30,66.4%
2025-04-03 14:06:35,59.5%
2025-04-03 14:06:40,63.0%
2025-04-03 14:06:45,68.7%
2025-04-03 14:06:50,60.7%
2025-04-03 14:06:55,63.8%
2025-04-03 14:07:00,65.3%
2025-04-03 14:07:05,52.9%
2025-04-03 14:07:10,80.1%
2025-04-03 14:07:15,57.4%
2025-04-03 14:07:20,68.8%
2025-04-03 14:07:25,57.0%
2025-04-03 14:07:30,83.5%
2025-04-03 14:07:35,55.5%
2025-04-03 14:07:40,64.5%
2025-04-03 14:07:45,75.9%
2025-04-03 14:07:50,59.4%
2025-04-03 14:07:55,58.1%
2025-04-03 14:08:00,78.1%
2025-04-03 14:08:05,54.7%
2025-04-03 14:08:10,51.2%
2025-04-03 14:08:15,59.8%
2025-04-03 14:08:20,62.8%
2025-04-03 14:08:25,63.2%
2025-04-03 14:08:30,63.9%
2025-04-03 14:08:35,64.9%
2025-04-03 14:08:40,65.2%
2025-04-03 14:08:45,64.9%
2025-04-03 14:08:50,64.6%
2025-04-03 14:08:55,63.0%
2025-04-03 14:09:00,65.5%
2025-04-03 14:09:05,63.3%
2025-04-03 14:09:10,79.7%
2025-04-03 14:09:15,63.7%
2025-04-03 14:09:20,56.4%
2025-04-03 14:09:25,67.4%
2025-04-03 14:09:30,69.9%
2025-04-03 14:09:35,53.7%
2025-04-03 14:09:40,72.3%
2025-04-03 14:09:45,83.0%
2025-04-03 14:09:50,58.0%
2025-04-03 14:09:55,48.6%
2025-04-03 14:10:00,84.1%
2025-04-03 14:10:05,80.4%
2025-04-03 14:10:10,61.2%
2025-04-03 14:10:15,49.3%
2025-04-03 14:10:20,63.5%
2025-04-03 14:10:25,65.6%
2025-04-03 14:10:30,60.0%
2025-04-03 14:10:35,64.2%
2025-04-03 14:10:40,64.1%
2025-04-03 14:10:45,61.9%
2025-04-03 14:10:50,66.6%
2025-04-03 14:10:55,64.7%
2025-04-03 14:11:00,58.5%
