"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-server_app-1""}[5m])) / 12
"
2025-04-03 14:29:55,62.9%
2025-04-03 14:30:00,61.8%
2025-04-03 14:30:05,62.9%
2025-04-03 14:30:10,62.7%
2025-04-03 14:30:15,60.9%
2025-04-03 14:30:20,63.8%
2025-04-03 14:30:25,62.7%
2025-04-03 14:30:30,61.5%
2025-04-03 14:30:35,62.1%
2025-04-03 14:30:40,59.0%
2025-04-03 14:30:45,60.8%
2025-04-03 14:30:50,64.9%
2025-04-03 14:30:55,62.3%
2025-04-03 14:31:00,60.9%
2025-04-03 14:31:05,61.7%
2025-04-03 14:31:10,63.1%
2025-04-03 14:31:15,62.3%
2025-04-03 14:31:20,61.8%
2025-04-03 14:31:25,63.8%
2025-04-03 14:31:30,61.8%
2025-04-03 14:31:35,61.8%
2025-04-03 14:31:40,62.4%
2025-04-03 14:31:45,57.7%
2025-04-03 14:31:50,61.3%
2025-04-03 14:31:55,63.9%
2025-04-03 14:32:00,64.8%
2025-04-03 14:32:05,63.5%
2025-04-03 14:32:10,58.5%
2025-04-03 14:32:15,63.2%
2025-04-03 14:32:20,65.8%
2025-04-03 14:32:25,60.1%
2025-04-03 14:32:30,65.0%
2025-04-03 14:32:35,63.9%
2025-04-03 14:32:40,58.0%
2025-04-03 14:32:45,60.4%
2025-04-03 14:32:50,56.6%
2025-04-03 14:32:55,60.7%
2025-04-03 14:33:00,62.0%
2025-04-03 14:33:05,61.7%
2025-04-03 14:33:10,61.8%
2025-04-03 14:33:15,62.4%
2025-04-03 14:33:20,63.0%
2025-04-03 14:33:25,61.5%
2025-04-03 14:33:30,63.3%
2025-04-03 14:33:35,62.2%
2025-04-03 14:33:40,59.8%
2025-04-03 14:33:45,66.3%
2025-04-03 14:33:50,60.1%
2025-04-03 14:33:55,64.2%
2025-04-03 14:34:00,62.7%
2025-04-03 14:34:05,62.6%
2025-04-03 14:34:10,63.5%
2025-04-03 14:34:15,63.5%
2025-04-03 14:34:20,61.3%
2025-04-03 14:34:25,62.5%
2025-04-03 14:34:30,63.5%
2025-04-03 14:34:35,60.1%
2025-04-03 14:34:40,63.1%
2025-04-03 14:34:45,59.0%
2025-04-03 14:34:50,65.1%
2025-04-03 14:34:55,64.0%
