"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-03 15:42:05,45.8%
2025-04-03 15:42:10,43.7%
2025-04-03 15:42:15,43.1%
2025-04-03 15:42:20,42.4%
2025-04-03 15:42:25,45.3%
2025-04-03 15:42:30,46.4%
2025-04-03 15:42:35,47.4%
2025-04-03 15:42:40,45.3%
2025-04-03 15:42:45,46.3%
2025-04-03 15:42:50,46.7%
2025-04-03 15:42:55,46.3%
2025-04-03 15:43:00,46.4%
2025-04-03 15:43:05,46.9%
2025-04-03 15:43:10,47.1%
2025-04-03 15:43:15,46.4%
2025-04-03 15:43:20,46.3%
2025-04-03 15:43:25,45.5%
2025-04-03 15:43:30,42.2%
2025-04-03 15:43:35,41.6%
2025-04-03 15:43:40,44.4%
2025-04-03 15:43:45,42.7%
2025-04-03 15:43:50,41.9%
2025-04-03 15:43:55,42.0%
2025-04-03 15:44:00,44.3%
2025-04-03 15:44:05,44.5%
2025-04-03 15:44:10,44.6%
2025-04-03 15:44:15,43.3%
2025-04-03 15:44:20,46.0%
2025-04-03 15:44:25,46.1%
2025-04-03 15:44:30,43.9%
2025-04-03 15:44:35,44.0%
2025-04-03 15:44:40,45.2%
2025-04-03 15:44:45,46.1%
2025-04-03 15:44:50,44.2%
2025-04-03 15:44:55,44.5%
2025-04-03 15:45:00,42.6%
2025-04-03 15:45:05,45.8%
2025-04-03 15:45:10,47.2%
2025-04-03 15:45:15,48.4%
2025-04-03 15:45:20,48.7%
2025-04-03 15:45:25,48.5%
2025-04-03 15:45:30,48.3%
2025-04-03 15:45:35,48.5%
2025-04-03 15:45:40,48.8%
2025-04-03 15:45:45,48.5%
2025-04-03 15:45:50,48.5%
2025-04-03 15:45:55,48.3%
2025-04-03 15:46:00,48.2%
2025-04-03 15:46:05,47.3%
2025-04-03 15:46:10,47.9%
2025-04-03 15:46:15,48.0%
2025-04-03 15:46:20,48.7%
2025-04-03 15:46:25,48.4%
2025-04-03 15:46:30,48.6%
2025-04-03 15:46:35,48.4%
2025-04-03 15:46:40,48.6%
2025-04-03 15:46:45,48.3%
2025-04-03 15:46:50,48.4%
2025-04-03 15:46:55,48.4%
2025-04-03 15:47:00,48.7%
2025-04-03 15:47:05,47.2%
