"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-postgres_db-1""}[5m])) / 12
"
2025-04-03 15:42:05,2.91%
2025-04-03 15:42:10,3.03%
2025-04-03 15:42:15,3.08%
2025-04-03 15:42:20,3.04%
2025-04-03 15:42:25,2.94%
2025-04-03 15:42:30,2.97%
2025-04-03 15:42:35,2.87%
2025-04-03 15:42:40,2.96%
2025-04-03 15:42:45,2.99%
2025-04-03 15:42:50,2.99%
2025-04-03 15:42:55,2.86%
2025-04-03 15:43:00,2.89%
2025-04-03 15:43:05,2.84%
2025-04-03 15:43:10,2.64%
2025-04-03 15:43:15,3.08%
2025-04-03 15:43:20,3.01%
2025-04-03 15:43:25,3.19%
2025-04-03 15:43:30,3.19%
2025-04-03 15:43:35,3.28%
2025-04-03 15:43:40,3.08%
2025-04-03 15:43:45,3.20%
2025-04-03 15:43:50,3.12%
2025-04-03 15:43:55,3.10%
2025-04-03 15:44:00,3.00%
2025-04-03 15:44:05,3.03%
2025-04-03 15:44:10,2.98%
2025-04-03 15:44:15,3.04%
2025-04-03 15:44:20,2.96%
2025-04-03 15:44:25,3.45%
2025-04-03 15:44:30,2.97%
2025-04-03 15:44:35,2.94%
2025-04-03 15:44:40,2.87%
2025-04-03 15:44:45,2.73%
2025-04-03 15:44:50,3.21%
2025-04-03 15:44:55,3.25%
2025-04-03 15:45:00,3.07%
2025-04-03 15:45:05,2.96%
2025-04-03 15:45:10,2.92%
2025-04-03 15:45:15,2.79%
2025-04-03 15:45:20,2.83%
2025-04-03 15:45:25,2.83%
2025-04-03 15:45:30,2.83%
2025-04-03 15:45:35,2.82%
2025-04-03 15:45:40,2.81%
2025-04-03 15:45:45,2.80%
2025-04-03 15:45:50,2.72%
2025-04-03 15:45:55,3.02%
2025-04-03 15:46:00,3.02%
2025-04-03 15:46:05,2.95%
2025-04-03 15:46:10,2.95%
2025-04-03 15:46:15,2.90%
2025-04-03 15:46:20,2.80%
2025-04-03 15:46:25,2.87%
2025-04-03 15:46:30,2.84%
2025-04-03 15:46:35,2.84%
2025-04-03 15:46:40,2.83%
2025-04-03 15:46:45,2.83%
2025-04-03 15:46:50,2.80%
2025-04-03 15:46:55,2.75%
2025-04-03 15:47:00,2.74%
2025-04-03 15:47:05,2.76%
