"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-redis-1""}[5m])) / 12
"
2025-04-03 16:01:00,0.0590%
2025-04-03 16:01:05,0.0604%
2025-04-03 16:01:10,0.0604%
2025-04-03 16:01:15,0.0600%
2025-04-03 16:01:20,0.0615%
2025-04-03 16:01:25,0.0605%
2025-04-03 16:01:30,0.0592%
2025-04-03 16:01:35,0.0625%
2025-04-03 16:01:40,0.0613%
2025-04-03 16:01:45,0.0624%
2025-04-03 16:01:50,0.0619%
2025-04-03 16:01:55,0.0603%
2025-04-03 16:02:00,0.0595%
2025-04-03 16:02:05,0.0610%
2025-04-03 16:02:10,0.0595%
2025-04-03 16:02:15,0.0606%
2025-04-03 16:02:20,0.0621%
2025-04-03 16:02:25,0.0604%
2025-04-03 16:02:30,0.0628%
2025-04-03 16:02:35,0.0621%
2025-04-03 16:02:40,0.0612%
2025-04-03 16:02:45,0.0632%
2025-04-03 16:02:50,0.0600%
2025-04-03 16:02:55,0.0610%
2025-04-03 16:03:00,0.0620%
2025-04-03 16:03:05,0.0620%
2025-04-03 16:03:10,0.0631%
2025-04-03 16:03:15,0.0624%
2025-04-03 16:03:20,0.0607%
2025-04-03 16:03:25,0.0615%
2025-04-03 16:03:30,0.0618%
2025-04-03 16:03:35,0.0592%
2025-04-03 16:03:40,0.0615%
2025-04-03 16:03:45,0.0613%
2025-04-03 16:03:50,0.0631%
2025-04-03 16:03:55,0.0598%
2025-04-03 16:04:00,0.0608%
2025-04-03 16:04:05,0.0622%
2025-04-03 16:04:10,0.0597%
2025-04-03 16:04:15,0.0604%
2025-04-03 16:04:20,0.0585%
2025-04-03 16:04:25,0.0622%
2025-04-03 16:04:30,0.0589%
2025-04-03 16:04:35,0.0601%
2025-04-03 16:04:40,0.0615%
2025-04-03 16:04:45,0.0598%
2025-04-03 16:04:50,0.0593%
2025-04-03 16:04:55,0.0623%
2025-04-03 16:05:00,0.0644%
2025-04-03 16:05:05,0.0598%
2025-04-03 16:05:10,0.0609%
2025-04-03 16:05:15,0.0617%
2025-04-03 16:05:20,0.0611%
2025-04-03 16:05:25,0.0584%
2025-04-03 16:05:30,0.0611%
2025-04-03 16:05:35,0.0616%
2025-04-03 16:05:40,0.0589%
2025-04-03 16:05:45,0.0605%
2025-04-03 16:05:50,0.0622%
2025-04-03 16:05:55,0.0606%
2025-04-03 16:06:00,0.0571%
