"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-server_app-1""}[5m])) / 12
"
2025-04-03 16:01:00,45.4%
2025-04-03 16:01:05,45.8%
2025-04-03 16:01:10,45.8%
2025-04-03 16:01:15,46.1%
2025-04-03 16:01:20,46.5%
2025-04-03 16:01:25,47.0%
2025-04-03 16:01:30,47.2%
2025-04-03 16:01:35,45.4%
2025-04-03 16:01:40,45.0%
2025-04-03 16:01:45,44.5%
2025-04-03 16:01:50,44.7%
2025-04-03 16:01:55,45.1%
2025-04-03 16:02:00,45.9%
2025-04-03 16:02:05,45.9%
2025-04-03 16:02:10,45.5%
2025-04-03 16:02:15,45.7%
2025-04-03 16:02:20,45.7%
2025-04-03 16:02:25,45.6%
2025-04-03 16:02:30,45.8%
2025-04-03 16:02:35,46.3%
2025-04-03 16:02:40,46.0%
2025-04-03 16:02:45,46.2%
2025-04-03 16:02:50,47.0%
2025-04-03 16:02:55,45.1%
2025-04-03 16:03:00,45.7%
2025-04-03 16:03:05,44.7%
2025-04-03 16:03:10,45.3%
2025-04-03 16:03:15,45.1%
2025-04-03 16:03:20,45.9%
2025-04-03 16:03:25,45.5%
2025-04-03 16:03:30,45.6%
2025-04-03 16:03:35,45.5%
2025-04-03 16:03:40,45.7%
2025-04-03 16:03:45,45.8%
2025-04-03 16:03:50,45.8%
2025-04-03 16:03:55,46.2%
2025-04-03 16:04:00,46.0%
2025-04-03 16:04:05,46.6%
2025-04-03 16:04:10,47.5%
2025-04-03 16:04:15,46.2%
2025-04-03 16:04:20,45.7%
2025-04-03 16:04:25,45.8%
2025-04-03 16:04:30,44.6%
2025-04-03 16:04:35,44.9%
2025-04-03 16:04:40,45.8%
2025-04-03 16:04:45,45.7%
2025-04-03 16:04:50,45.6%
2025-04-03 16:04:55,45.5%
2025-04-03 16:05:00,46.0%
2025-04-03 16:05:05,45.7%
2025-04-03 16:05:10,45.8%
2025-04-03 16:05:15,46.0%
2025-04-03 16:05:20,46.1%
2025-04-03 16:05:25,46.3%
2025-04-03 16:05:30,47.3%
2025-04-03 16:05:35,46.3%
2025-04-03 16:05:40,45.0%
2025-04-03 16:05:45,44.9%
2025-04-03 16:05:50,44.7%
2025-04-03 16:05:55,45.8%
2025-04-03 16:06:00,45.8%
