"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-03 15:07:55,51.2%
2025-04-03 15:08:00,49.9%
2025-04-03 15:08:05,51.7%
2025-04-03 15:08:10,49.8%
2025-04-03 15:08:15,50.5%
2025-04-03 15:08:20,50.2%
2025-04-03 15:08:25,50.2%
2025-04-03 15:08:30,50.8%
2025-04-03 15:08:35,50.8%
2025-04-03 15:08:40,49.8%
2025-04-03 15:08:45,51.0%
2025-04-03 15:08:50,50.9%
2025-04-03 15:08:55,49.7%
2025-04-03 15:09:00,50.4%
2025-04-03 15:09:05,49.8%
2025-04-03 15:09:10,50.7%
2025-04-03 15:09:15,49.5%
2025-04-03 15:09:20,50.3%
2025-04-03 15:09:25,49.5%
2025-04-03 15:09:30,51.3%
2025-04-03 15:09:35,50.0%
2025-04-03 15:09:40,50.8%
2025-04-03 15:09:45,49.0%
2025-04-03 15:09:50,51.0%
2025-04-03 15:09:55,49.8%
2025-04-03 15:10:00,50.1%
2025-04-03 15:10:05,51.0%
2025-04-03 15:10:10,48.9%
2025-04-03 15:10:15,50.9%
2025-04-03 15:10:20,50.2%
2025-04-03 15:10:25,50.4%
2025-04-03 15:10:30,49.9%
2025-04-03 15:10:35,50.4%
2025-04-03 15:10:40,50.5%
2025-04-03 15:10:45,50.4%
2025-04-03 15:10:50,49.7%
2025-04-03 15:10:55,50.1%
2025-04-03 15:11:00,50.1%
2025-04-03 15:11:05,50.6%
2025-04-03 15:11:10,49.8%
2025-04-03 15:11:15,50.2%
2025-04-03 15:11:20,49.6%
2025-04-03 15:11:25,50.4%
2025-04-03 15:11:30,50.3%
2025-04-03 15:11:35,50.8%
2025-04-03 15:11:40,50.1%
2025-04-03 15:11:45,50.8%
2025-04-03 15:11:50,50.0%
2025-04-03 15:11:55,50.4%
2025-04-03 15:12:00,50.5%
2025-04-03 15:12:05,50.0%
2025-04-03 15:12:10,50.7%
2025-04-03 15:12:15,49.1%
2025-04-03 15:12:20,50.8%
2025-04-03 15:12:25,49.8%
2025-04-03 15:12:30,51.2%
2025-04-03 15:12:35,50.1%
2025-04-03 15:12:40,49.8%
2025-04-03 15:12:45,47.6%
2025-04-03 15:12:50,49.0%
2025-04-03 15:12:55,46.1%
