"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-postgres_db-1""}[5m])) / 12
"
2025-04-03 15:14:00,2.53%
2025-04-03 15:14:05,2.50%
2025-04-03 15:14:10,2.54%
2025-04-03 15:14:15,2.46%
2025-04-03 15:14:20,2.52%
2025-04-03 15:14:25,2.47%
2025-04-03 15:14:30,2.63%
2025-04-03 15:14:35,2.57%
2025-04-03 15:14:40,2.60%
2025-04-03 15:14:45,2.55%
2025-04-03 15:14:50,2.52%
2025-04-03 15:14:55,2.53%
2025-04-03 15:15:00,2.49%
2025-04-03 15:15:05,2.55%
2025-04-03 15:15:10,2.47%
2025-04-03 15:15:15,2.53%
2025-04-03 15:15:20,2.45%
2025-04-03 15:15:25,2.52%
2025-04-03 15:15:30,2.63%
2025-04-03 15:15:35,2.69%
2025-04-03 15:15:40,2.53%
2025-04-03 15:15:45,2.53%
2025-04-03 15:15:50,2.48%
2025-04-03 15:15:55,2.57%
2025-04-03 15:16:00,2.54%
2025-04-03 15:16:05,2.49%
2025-04-03 15:16:10,2.48%
2025-04-03 15:16:15,2.56%
2025-04-03 15:16:20,2.48%
2025-04-03 15:16:25,2.52%
2025-04-03 15:16:30,2.54%
2025-04-03 15:16:35,2.50%
2025-04-03 15:16:40,2.56%
2025-04-03 15:16:45,2.55%
2025-04-03 15:16:50,2.48%
2025-04-03 15:16:55,2.51%
2025-04-03 15:17:00,2.55%
2025-04-03 15:17:05,2.43%
2025-04-03 15:17:10,2.52%
2025-04-03 15:17:15,2.48%
2025-04-03 15:17:20,2.50%
2025-04-03 15:17:25,2.53%
2025-04-03 15:17:30,2.62%
2025-04-03 15:17:35,2.56%
2025-04-03 15:17:40,2.54%
2025-04-03 15:17:45,2.54%
2025-04-03 15:17:50,2.54%
2025-04-03 15:17:55,2.51%
2025-04-03 15:18:00,2.51%
2025-04-03 15:18:05,3.00%
2025-04-03 15:18:10,2.47%
2025-04-03 15:18:15,2.55%
2025-04-03 15:18:20,2.44%
2025-04-03 15:18:25,2.54%
2025-04-03 15:18:30,2.56%
2025-04-03 15:18:35,2.62%
2025-04-03 15:18:40,2.48%
2025-04-03 15:18:45,2.64%
2025-04-03 15:18:50,2.50%
2025-04-03 15:18:55,2.51%
2025-04-03 15:19:00,2.49%
