"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 15:14:04,6.67 W
2025-04-03 15:14:09,6.75 W
2025-04-03 15:14:14,6.63 W
2025-04-03 15:14:19,6.38 W
2025-04-03 15:14:24,6.77 W
2025-04-03 15:14:29,6.68 W
2025-04-03 15:14:34,6.85 W
2025-04-03 15:14:39,6.59 W
2025-04-03 15:14:44,6.69 W
2025-04-03 15:14:49,6.38 W
2025-04-03 15:14:54,6.47 W
2025-04-03 15:14:59,6.58 W
2025-04-03 15:15:04,6.61 W
2025-04-03 15:15:09,6.60 W
2025-04-03 15:15:14,6.80 W
2025-04-03 15:15:19,6.60 W
2025-04-03 15:15:24,6.67 W
2025-04-03 15:15:29,6.57 W
2025-04-03 15:15:34,6.67 W
2025-04-03 15:15:39,6.81 W
2025-04-03 15:15:44,6.67 W
2025-04-03 15:15:49,6.61 W
2025-04-03 15:15:54,6.70 W
2025-04-03 15:15:59,6.75 W
2025-04-03 15:16:04,6.61 W
2025-04-03 15:16:09,6.44 W
2025-04-03 15:16:14,6.64 W
2025-04-03 15:16:19,6.64 W
2025-04-03 15:16:24,6.69 W
2025-04-03 15:16:29,6.53 W
2025-04-03 15:16:34,6.74 W
2025-04-03 15:16:39,6.58 W
2025-04-03 15:16:44,6.50 W
2025-04-03 15:16:49,6.49 W
2025-04-03 15:16:54,6.61 W
2025-04-03 15:16:59,6.32 W
2025-04-03 15:17:04,6.76 W
2025-04-03 15:17:09,6.60 W
2025-04-03 15:17:14,6.58 W
2025-04-03 15:17:19,6.45 W
2025-04-03 15:17:24,6.54 W
2025-04-03 15:17:29,6.66 W
2025-04-03 15:17:34,6.77 W
2025-04-03 15:17:39,6.44 W
2025-04-03 15:17:44,6.63 W
2025-04-03 15:17:49,6.46 W
2025-04-03 15:17:54,6.75 W
2025-04-03 15:17:59,6.64 W
2025-04-03 15:18:04,6.57 W
2025-04-03 15:18:09,6.47 W
2025-04-03 15:18:14,6.46 W
2025-04-03 15:18:19,6.40 W
2025-04-03 15:18:24,6.41 W
2025-04-03 15:18:29,6.39 W
2025-04-03 15:18:34,6.48 W
