"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-redis-1""}[5m])) / 12
"
2025-04-03 14:46:00,0.0608%
2025-04-03 14:46:05,0.0587%
2025-04-03 14:46:10,0.0614%
2025-04-03 14:46:15,0.0607%
2025-04-03 14:46:20,0.0609%
2025-04-03 14:46:25,0.0595%
2025-04-03 14:46:30,0.0590%
2025-04-03 14:46:35,0.0623%
2025-04-03 14:46:40,0.0601%
2025-04-03 14:46:45,0.0606%
2025-04-03 14:46:50,0.0579%
2025-04-03 14:46:55,0.0582%
2025-04-03 14:47:00,0.0613%
2025-04-03 14:47:05,0.0608%
2025-04-03 14:47:10,0.0606%
2025-04-03 14:47:15,0.0597%
2025-04-03 14:47:20,0.0578%
2025-04-03 14:47:25,0.0620%
2025-04-03 14:47:30,0.0572%
2025-04-03 14:47:35,0.0584%
2025-04-03 14:47:40,0.0606%
2025-04-03 14:47:45,0.0606%
2025-04-03 14:47:50,0.0574%
2025-04-03 14:47:55,0.0601%
2025-04-03 14:48:00,0.0573%
2025-04-03 14:48:05,0.0617%
2025-04-03 14:48:10,0.0608%
2025-04-03 14:48:15,0.0585%
2025-04-03 14:48:20,0.0632%
2025-04-03 14:48:25,0.0593%
2025-04-03 14:48:30,0.0573%
2025-04-03 14:48:35,0.0586%
2025-04-03 14:48:40,0.0601%
2025-04-03 14:48:45,0.0592%
2025-04-03 14:48:50,0.0597%
2025-04-03 14:48:55,0.0615%
2025-04-03 14:49:00,0.0591%
2025-04-03 14:49:05,0.0604%
2025-04-03 14:49:10,0.0592%
2025-04-03 14:49:15,0.0573%
2025-04-03 14:49:20,0.0624%
2025-04-03 14:49:25,0.0589%
2025-04-03 14:49:30,0.0613%
2025-04-03 14:49:35,0.0583%
2025-04-03 14:49:40,0.0594%
2025-04-03 14:49:45,0.0595%
2025-04-03 14:49:50,0.0604%
2025-04-03 14:49:55,0.0579%
2025-04-03 14:50:00,0.0607%
2025-04-03 14:50:05,0.0587%
2025-04-03 14:50:10,0.0590%
2025-04-03 14:50:15,0.0606%
2025-04-03 14:50:20,0.0617%
2025-04-03 14:50:25,0.0594%
2025-04-03 14:50:30,0.0618%
2025-04-03 14:50:35,0.0616%
2025-04-03 14:50:40,0.0582%
2025-04-03 14:50:45,0.0605%
2025-04-03 14:50:50,0.0627%
2025-04-03 14:50:55,0.0585%
2025-04-03 14:51:00,0.0602%
