"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-07 09:38:30,35.4%
2025-04-07 09:38:35,38.6%
2025-04-07 09:38:40,34.6%
2025-04-07 09:38:45,35.8%
2025-04-07 09:38:50,35.0%
2025-04-07 09:38:55,37.3%
2025-04-07 09:39:00,34.7%
2025-04-07 09:39:05,35.3%
2025-04-07 09:39:10,38.1%
2025-04-07 09:39:15,35.2%
2025-04-07 09:39:20,36.0%
2025-04-07 09:39:25,36.0%
2025-04-07 09:39:30,36.4%
2025-04-07 09:39:35,31.2%
2025-04-07 09:39:40,35.6%
2025-04-07 09:39:45,37.8%
2025-04-07 09:39:50,34.6%
2025-04-07 09:39:55,36.4%
2025-04-07 09:40:00,38.6%
2025-04-07 09:40:05,36.8%
2025-04-07 09:40:10,35.0%
2025-04-07 09:40:15,38.5%
2025-04-07 09:40:20,34.4%
2025-04-07 09:40:25,34.7%
2025-04-07 09:40:30,35.4%
2025-04-07 09:40:35,36.9%
2025-04-07 09:40:40,35.1%
2025-04-07 09:40:45,35.7%
2025-04-07 09:40:50,37.6%
2025-04-07 09:40:55,34.2%
2025-04-07 09:41:00,36.1%
2025-04-07 09:41:05,39.1%
2025-04-07 09:41:10,34.3%
2025-04-07 09:41:15,35.5%
2025-04-07 09:41:20,37.4%
2025-04-07 09:41:25,34.1%
2025-04-07 09:41:30,35.3%
2025-04-07 09:41:35,36.3%
2025-04-07 09:41:40,36.8%
2025-04-07 09:41:45,34.8%
2025-04-07 09:41:50,36.1%
2025-04-07 09:41:55,38.1%
2025-04-07 09:42:00,35.5%
2025-04-07 09:42:05,36.0%
2025-04-07 09:42:10,38.5%
2025-04-07 09:42:15,34.4%
2025-04-07 09:42:20,35.1%
2025-04-07 09:42:25,37.8%
2025-04-07 09:42:30,33.7%
2025-04-07 09:42:35,34.9%
2025-04-07 09:42:40,36.4%
2025-04-07 09:42:45,37.1%
2025-04-07 09:42:50,34.7%
2025-04-07 09:42:55,36.1%
2025-04-07 09:43:00,38.3%
2025-04-07 09:43:05,33.9%
2025-04-07 09:43:10,35.6%
2025-04-07 09:43:15,35.9%
2025-04-07 09:43:20,36.9%
2025-04-07 09:43:25,34.3%
2025-04-07 09:43:30,34.5%
