"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-postgres_db-1""}[5m])) / 12
"
2025-04-07 09:12:25,2.24%
2025-04-07 09:12:30,2.26%
2025-04-07 09:12:35,2.38%
2025-04-07 09:12:40,2.38%
2025-04-07 09:12:45,2.40%
2025-04-07 09:12:50,2.38%
2025-04-07 09:12:55,2.39%
2025-04-07 09:13:00,2.38%
2025-04-07 09:13:05,2.36%
2025-04-07 09:13:10,2.32%
2025-04-07 09:13:15,2.29%
2025-04-07 09:13:20,2.16%
2025-04-07 09:13:25,2.19%
2025-04-07 09:13:30,2.25%
2025-04-07 09:13:35,2.23%
2025-04-07 09:13:40,2.19%
2025-04-07 09:13:45,2.22%
2025-04-07 09:13:50,2.24%
2025-04-07 09:13:55,2.19%
2025-04-07 09:14:00,2.21%
2025-04-07 09:14:05,2.16%
2025-04-07 09:14:10,2.15%
2025-04-07 09:14:15,2.16%
2025-04-07 09:14:20,2.44%
2025-04-07 09:14:25,2.43%
2025-04-07 09:14:30,2.43%
2025-04-07 09:14:35,2.37%
2025-04-07 09:14:40,2.37%
2025-04-07 09:14:45,2.35%
2025-04-07 09:14:50,2.37%
2025-04-07 09:14:55,2.38%
2025-04-07 09:15:00,2.32%
2025-04-07 09:15:05,2.35%
2025-04-07 09:15:10,2.41%
2025-04-07 09:15:15,3.02%
2025-04-07 09:15:20,2.27%
2025-04-07 09:15:25,2.13%
2025-04-07 09:15:30,2.13%
2025-04-07 09:15:35,2.26%
2025-04-07 09:15:40,2.31%
2025-04-07 09:15:45,2.25%
2025-04-07 09:15:50,2.22%
2025-04-07 09:15:55,2.20%
2025-04-07 09:16:00,2.18%
2025-04-07 09:16:05,2.50%
2025-04-07 09:16:10,2.41%
2025-04-07 09:16:15,2.43%
2025-04-07 09:16:20,2.42%
2025-04-07 09:16:25,2.41%
2025-04-07 09:16:30,2.40%
2025-04-07 09:16:35,2.39%
2025-04-07 09:16:40,2.43%
2025-04-07 09:16:45,2.40%
2025-04-07 09:16:50,2.40%
2025-04-07 09:16:55,2.38%
2025-04-07 09:17:00,2.31%
2025-04-07 09:17:05,2.27%
2025-04-07 09:17:10,2.16%
2025-04-07 09:17:15,2.11%
2025-04-07 09:17:20,2.29%
2025-04-07 09:17:25,2.25%
