"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-server_app-1""}[5m])) / 12
"
2025-04-07 09:38:30,33.0%
2025-04-07 09:38:35,36.4%
2025-04-07 09:38:40,32.1%
2025-04-07 09:38:45,33.4%
2025-04-07 09:38:50,32.6%
2025-04-07 09:38:55,35.0%
2025-04-07 09:39:00,32.2%
2025-04-07 09:39:05,32.9%
2025-04-07 09:39:10,35.9%
2025-04-07 09:39:15,32.6%
2025-04-07 09:39:20,33.6%
2025-04-07 09:39:25,33.7%
2025-04-07 09:39:30,33.9%
2025-04-07 09:39:35,28.7%
2025-04-07 09:39:40,33.2%
2025-04-07 09:39:45,35.5%
2025-04-07 09:39:50,32.1%
2025-04-07 09:39:55,33.9%
2025-04-07 09:40:00,36.3%
2025-04-07 09:40:05,34.3%
2025-04-07 09:40:10,32.6%
2025-04-07 09:40:15,36.0%
2025-04-07 09:40:20,31.9%
2025-04-07 09:40:25,32.2%
2025-04-07 09:40:30,33.0%
2025-04-07 09:40:35,34.5%
2025-04-07 09:40:40,32.6%
2025-04-07 09:40:45,33.4%
2025-04-07 09:40:50,35.3%
2025-04-07 09:40:55,31.7%
2025-04-07 09:41:00,33.7%
2025-04-07 09:41:05,36.8%
2025-04-07 09:41:10,31.8%
2025-04-07 09:41:15,33.1%
2025-04-07 09:41:20,35.2%
2025-04-07 09:41:25,31.6%
2025-04-07 09:41:30,32.9%
2025-04-07 09:41:35,34.0%
2025-04-07 09:41:40,34.5%
2025-04-07 09:41:45,32.3%
2025-04-07 09:41:50,33.8%
2025-04-07 09:41:55,35.9%
2025-04-07 09:42:00,33.0%
2025-04-07 09:42:05,33.6%
2025-04-07 09:42:10,36.3%
2025-04-07 09:42:15,31.9%
2025-04-07 09:42:20,32.6%
2025-04-07 09:42:25,35.5%
2025-04-07 09:42:30,31.4%
2025-04-07 09:42:35,32.5%
2025-04-07 09:42:40,34.1%
2025-04-07 09:42:45,34.9%
2025-04-07 09:42:50,32.2%
2025-04-07 09:42:55,33.7%
2025-04-07 09:43:00,36.1%
2025-04-07 09:43:05,31.3%
2025-04-07 09:43:10,33.2%
2025-04-07 09:43:15,33.5%
2025-04-07 09:43:20,34.5%
2025-04-07 09:43:25,31.8%
2025-04-07 09:43:30,32.1%
