"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-07 10:07:35,32.3%
2025-04-07 10:07:40,29.8%
2025-04-07 10:07:45,30.0%
2025-04-07 10:07:50,31.5%
2025-04-07 10:07:55,33.8%
2025-04-07 10:08:00,32.2%
2025-04-07 10:08:05,34.7%
2025-04-07 10:08:10,35.6%
2025-04-07 10:08:15,33.8%
2025-04-07 10:08:20,36.3%
2025-04-07 10:08:25,33.0%
2025-04-07 10:08:30,35.0%
2025-04-07 10:08:35,36.5%
2025-04-07 10:08:40,34.4%
2025-04-07 10:08:45,36.9%
2025-04-07 10:08:50,35.9%
2025-04-07 10:08:55,32.9%
2025-04-07 10:09:00,37.2%
2025-04-07 10:09:05,34.9%
2025-04-07 10:09:10,36.0%
2025-04-07 10:09:15,36.9%
2025-04-07 10:09:20,34.6%
2025-04-07 10:09:25,35.9%
2025-04-07 10:09:30,36.5%
2025-04-07 10:09:35,34.7%
2025-04-07 10:09:40,36.2%
2025-04-07 10:09:45,36.0%
2025-04-07 10:09:50,35.2%
2025-04-07 10:09:55,36.5%
2025-04-07 10:10:00,34.3%
2025-04-07 10:10:05,34.8%
2025-04-07 10:10:10,37.4%
2025-04-07 10:10:15,34.6%
2025-04-07 10:10:20,36.6%
2025-04-07 10:10:25,36.3%
2025-04-07 10:10:30,33.9%
2025-04-07 10:10:35,37.5%
2025-04-07 10:10:40,34.5%
2025-04-07 10:10:45,35.3%
2025-04-07 10:10:50,38.7%
2025-04-07 10:10:55,34.3%
2025-04-07 10:11:00,34.9%
2025-04-07 10:11:05,37.4%
2025-04-07 10:11:10,33.1%
2025-04-07 10:11:15,35.3%
2025-04-07 10:11:20,36.6%
2025-04-07 10:11:25,33.8%
2025-04-07 10:11:30,35.3%
2025-04-07 10:11:35,35.9%
2025-04-07 10:11:40,35.1%
2025-04-07 10:11:45,36.8%
2025-04-07 10:11:50,34.3%
2025-04-07 10:11:55,34.3%
2025-04-07 10:12:00,37.0%
2025-04-07 10:12:05,33.4%
2025-04-07 10:12:10,34.3%
2025-04-07 10:12:15,36.4%
2025-04-07 10:12:20,34.0%
2025-04-07 10:12:25,35.2%
2025-04-07 10:12:30,37.1%
2025-04-07 10:12:35,33.7%
