"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-07 09:59:29,6.32 W
2025-04-07 09:59:34,6.09 W
2025-04-07 09:59:39,6.20 W
2025-04-07 09:59:44,6.08 W
2025-04-07 09:59:49,6.09 W
2025-04-07 09:59:54,6.22 W
2025-04-07 09:59:59,6.03 W
2025-04-07 10:00:04,6.10 W
2025-04-07 10:00:09,6.16 W
2025-04-07 10:00:14,6.18 W
2025-04-07 10:00:19,6.01 W
2025-04-07 10:00:24,6.04 W
2025-04-07 10:00:29,6.07 W
2025-04-07 10:00:34,6.13 W
2025-04-07 10:00:39,6.11 W
2025-04-07 10:00:44,6.23 W
2025-04-07 10:00:49,6.20 W
2025-04-07 10:00:54,5.99 W
2025-04-07 10:00:59,6.15 W
2025-04-07 10:01:04,5.93 W
2025-04-07 10:01:09,6.25 W
2025-04-07 10:01:14,6.07 W
2025-04-07 10:01:19,5.94 W
2025-04-07 10:01:24,6.25 W
2025-04-07 10:01:29,6.00 W
2025-04-07 10:01:34,6.12 W
2025-04-07 10:01:39,6.19 W
2025-04-07 10:01:44,6.16 W
2025-04-07 10:01:49,6.22 W
2025-04-07 10:01:54,6.15 W
2025-04-07 10:01:59,6.03 W
2025-04-07 10:02:04,6.07 W
2025-04-07 10:02:09,6.32 W
2025-04-07 10:02:14,6.20 W
2025-04-07 10:02:19,6.22 W
2025-04-07 10:02:24,6.22 W
2025-04-07 10:02:29,6.37 W
2025-04-07 10:02:34,6.06 W
2025-04-07 10:02:39,6.24 W
2025-04-07 10:02:44,6.05 W
2025-04-07 10:02:49,6.06 W
2025-04-07 10:02:54,6.03 W
2025-04-07 10:02:59,6.07 W
2025-04-07 10:03:04,5.92 W
2025-04-07 10:03:09,6.04 W
2025-04-07 10:03:14,6.19 W
2025-04-07 10:03:19,6.22 W
2025-04-07 10:03:24,6.16 W
2025-04-07 10:03:29,6.44 W
2025-04-07 10:03:34,6.41 W
2025-04-07 10:03:39,6.32 W
2025-04-07 10:03:44,6.18 W
2025-04-07 10:03:49,6.46 W
2025-04-07 10:03:54,6.34 W
2025-04-07 10:03:59,6.51 W
