"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-redis-1""}[5m])) / 12
"
2025-04-07 09:59:25,0.0594%
2025-04-07 09:59:30,0.0586%
2025-04-07 09:59:35,0.0624%
2025-04-07 09:59:40,0.0600%
2025-04-07 09:59:45,0.0602%
2025-04-07 09:59:50,0.0618%
2025-04-07 09:59:55,0.0608%
2025-04-07 10:00:00,0.0606%
2025-04-07 10:00:05,0.0611%
2025-04-07 10:00:10,0.0580%
2025-04-07 10:00:15,0.0578%
2025-04-07 10:00:20,0.0631%
2025-04-07 10:00:25,0.0585%
2025-04-07 10:00:30,0.0595%
2025-04-07 10:00:35,0.0573%
2025-04-07 10:00:40,0.0599%
2025-04-07 10:00:45,0.0593%
2025-04-07 10:00:50,0.0606%
2025-04-07 10:00:55,0.0615%
2025-04-07 10:01:00,0.0584%
2025-04-07 10:01:05,0.0577%
2025-04-07 10:01:10,0.0593%
2025-04-07 10:01:15,0.0598%
2025-04-07 10:01:20,0.0578%
2025-04-07 10:01:25,0.0633%
2025-04-07 10:01:30,0.0605%
2025-04-07 10:01:35,0.0608%
2025-04-07 10:01:40,0.0596%
2025-04-07 10:01:45,0.0643%
2025-04-07 10:01:50,0.0622%
2025-04-07 10:01:55,0.0611%
2025-04-07 10:02:00,0.0601%
2025-04-07 10:02:05,0.0614%
2025-04-07 10:02:10,0.0621%
2025-04-07 10:02:15,0.0578%
2025-04-07 10:02:20,0.0606%
2025-04-07 10:02:25,0.0593%
2025-04-07 10:02:30,0.0585%
2025-04-07 10:02:35,0.0565%
2025-04-07 10:02:40,0.0601%
2025-04-07 10:02:45,0.0600%
2025-04-07 10:02:50,0.0593%
2025-04-07 10:02:55,0.0598%
2025-04-07 10:03:00,0.0618%
2025-04-07 10:03:05,0.0597%
2025-04-07 10:03:10,0.0583%
2025-04-07 10:03:15,0.0614%
2025-04-07 10:03:20,0.0631%
2025-04-07 10:03:25,0.0617%
2025-04-07 10:03:30,0.0566%
2025-04-07 10:03:35,0.0568%
2025-04-07 10:03:40,0.0567%
2025-04-07 10:03:45,0.0579%
2025-04-07 10:03:50,0.0567%
2025-04-07 10:03:55,0.0593%
2025-04-07 10:04:00,0.0583%
2025-04-07 10:04:05,0.0579%
2025-04-07 10:04:10,0.0558%
2025-04-07 10:04:15,0.0562%
2025-04-07 10:04:20,0.0551%
2025-04-07 10:04:25,0.0565%
