"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-server_app-1""}[5m])) / 12
"
2025-04-07 10:13:20,33.7%
2025-04-07 10:13:25,29.6%
2025-04-07 10:13:30,33.1%
2025-04-07 10:13:35,35.8%
2025-04-07 10:13:40,32.2%
2025-04-07 10:13:45,32.5%
2025-04-07 10:13:50,35.1%
2025-04-07 10:13:55,31.1%
2025-04-07 10:14:00,32.7%
2025-04-07 10:14:05,35.2%
2025-04-07 10:14:10,31.5%
2025-04-07 10:14:15,33.4%
2025-04-07 10:14:20,35.3%
2025-04-07 10:14:25,31.8%
2025-04-07 10:14:30,32.8%
2025-04-07 10:14:35,35.7%
2025-04-07 10:14:40,30.5%
2025-04-07 10:14:45,33.3%
2025-04-07 10:14:50,34.2%
2025-04-07 10:14:55,31.2%
2025-04-07 10:15:00,32.6%
2025-04-07 10:15:05,34.4%
2025-04-07 10:15:10,31.9%
2025-04-07 10:15:15,32.7%
2025-04-07 10:15:20,34.1%
2025-04-07 10:15:25,31.5%
2025-04-07 10:15:30,32.8%
2025-04-07 10:15:35,34.8%
2025-04-07 10:15:40,31.9%
2025-04-07 10:15:45,32.2%
2025-04-07 10:15:50,35.3%
2025-04-07 10:15:55,31.6%
2025-04-07 10:16:00,33.8%
2025-04-07 10:16:05,34.2%
2025-04-07 10:16:10,32.0%
2025-04-07 10:16:15,33.2%
2025-04-07 10:16:20,35.6%
2025-04-07 10:16:25,31.3%
2025-04-07 10:16:30,33.2%
2025-04-07 10:16:35,37.0%
2025-04-07 10:16:40,31.8%
2025-04-07 10:16:45,33.4%
2025-04-07 10:16:50,35.3%
2025-04-07 10:16:55,31.1%
2025-04-07 10:17:00,32.3%
2025-04-07 10:17:05,35.8%
2025-04-07 10:17:10,33.1%
2025-04-07 10:17:15,33.7%
2025-04-07 10:17:20,34.7%
2025-04-07 10:17:25,32.9%
2025-04-07 10:17:30,32.5%
2025-04-07 10:17:35,33.1%
2025-04-07 10:17:40,33.8%
2025-04-07 10:17:45,33.2%
2025-04-07 10:17:50,33.6%
2025-04-07 10:17:55,34.7%
2025-04-07 10:18:00,32.5%
2025-04-07 10:18:05,32.9%
2025-04-07 10:18:10,36.0%
2025-04-07 10:18:15,32.2%
2025-04-07 10:18:20,32.8%
