"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-07 11:09:05,79.7%
2025-04-07 11:09:10,78.8%
2025-04-07 11:09:15,79.9%
2025-04-07 11:09:20,78.8%
2025-04-07 11:09:25,79.8%
2025-04-07 11:09:30,79.9%
2025-04-07 11:09:35,79.2%
2025-04-07 11:09:40,80.1%
2025-04-07 11:09:45,79.9%
2025-04-07 11:09:50,81.5%
2025-04-07 11:09:55,80.7%
2025-04-07 11:10:00,80.3%
2025-04-07 11:10:05,79.7%
2025-04-07 11:10:10,78.9%
2025-04-07 11:10:15,80.2%
2025-04-07 11:10:20,79.1%
2025-04-07 11:10:25,81.9%
2025-04-07 11:10:30,80.5%
2025-04-07 11:10:35,76.3%
2025-04-07 11:10:40,80.9%
2025-04-07 11:10:45,80.6%
2025-04-07 11:10:50,79.9%
2025-04-07 11:10:55,80.9%
2025-04-07 11:11:00,80.8%
2025-04-07 11:11:05,79.4%
2025-04-07 11:11:10,81.6%
2025-04-07 11:11:15,80.8%
2025-04-07 11:11:20,78.5%
2025-04-07 11:11:25,80.2%
2025-04-07 11:11:30,79.5%
2025-04-07 11:11:35,78.2%
2025-04-07 11:11:40,79.8%
2025-04-07 11:11:45,79.9%
2025-04-07 11:11:50,80.5%
2025-04-07 11:11:55,81.7%
2025-04-07 11:12:00,79.9%
2025-04-07 11:12:05,80.6%
2025-04-07 11:12:10,80.9%
2025-04-07 11:12:15,78.9%
2025-04-07 11:12:20,78.6%
2025-04-07 11:12:25,80.8%
2025-04-07 11:12:30,80.0%
2025-04-07 11:12:35,79.8%
2025-04-07 11:12:40,79.6%
2025-04-07 11:12:45,77.9%
2025-04-07 11:12:50,80.4%
2025-04-07 11:12:55,80.2%
2025-04-07 11:13:00,80.1%
2025-04-07 11:13:05,79.2%
2025-04-07 11:13:10,80.2%
2025-04-07 11:13:15,81.5%
2025-04-07 11:13:20,78.7%
2025-04-07 11:13:25,80.0%
2025-04-07 11:13:30,79.9%
2025-04-07 11:13:35,80.2%
2025-04-07 11:13:40,78.8%
2025-04-07 11:13:45,78.9%
2025-04-07 11:13:50,80.8%
2025-04-07 11:13:55,80.7%
2025-04-07 11:14:00,79.8%
2025-04-07 11:14:05,80.3%
