"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-07 10:57:11,8.97 W
2025-04-07 10:57:16,9.34 W
2025-04-07 10:57:21,8.92 W
2025-04-07 10:57:26,8.65 W
2025-04-07 10:57:31,9.34 W
2025-04-07 10:57:36,9.15 W
2025-04-07 10:57:41,9.09 W
2025-04-07 10:57:46,9.65 W
2025-04-07 10:57:51,9.10 W
2025-04-07 10:57:56,8.98 W
2025-04-07 10:58:01,8.53 W
2025-04-07 10:58:06,8.41 W
2025-04-07 10:58:11,9.69 W
2025-04-07 10:58:16,8.60 W
2025-04-07 10:58:21,8.04 W
2025-04-07 10:58:26,8.34 W
2025-04-07 10:58:31,8.10 W
2025-04-07 10:58:36,8.06 W
2025-04-07 10:58:41,8.07 W
2025-04-07 10:58:46,7.78 W
2025-04-07 10:58:51,8.09 W
2025-04-07 10:58:56,8.05 W
2025-04-07 10:59:01,8.07 W
2025-04-07 10:59:06,7.95 W
2025-04-07 10:59:11,8.05 W
2025-04-07 10:59:16,8.08 W
2025-04-07 10:59:21,7.98 W
2025-04-07 10:59:26,8.03 W
2025-04-07 10:59:31,7.83 W
2025-04-07 10:59:36,8.17 W
2025-04-07 10:59:41,8.01 W
2025-04-07 10:59:46,7.99 W
2025-04-07 10:59:51,8.14 W
2025-04-07 10:59:56,8.27 W
2025-04-07 11:00:01,7.79 W
2025-04-07 11:00:06,7.89 W
2025-04-07 11:00:11,7.80 W
2025-04-07 11:00:16,8.24 W
2025-04-07 11:00:21,7.89 W
2025-04-07 11:00:26,7.84 W
2025-04-07 11:00:31,7.96 W
2025-04-07 11:00:36,7.77 W
2025-04-07 11:00:41,8.06 W
2025-04-07 11:00:46,8.06 W
2025-04-07 11:00:51,7.93 W
2025-04-07 11:00:56,7.94 W
2025-04-07 11:01:01,8.29 W
2025-04-07 11:01:06,8.15 W
2025-04-07 11:01:11,8.22 W
2025-04-07 11:01:16,7.92 W
2025-04-07 11:01:21,8.07 W
2025-04-07 11:01:26,8.24 W
2025-04-07 11:01:31,7.84 W
2025-04-07 11:01:36,7.85 W
2025-04-07 11:01:41,8.19 W
