"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-07 11:53:20,72.7%
2025-04-07 11:53:25,74.6%
2025-04-07 11:53:30,77.0%
2025-04-07 11:53:35,77.1%
2025-04-07 11:53:40,79.1%
2025-04-07 11:53:45,72.8%
2025-04-07 11:53:50,75.7%
2025-04-07 11:53:55,76.6%
2025-04-07 11:54:00,75.0%
2025-04-07 11:54:05,72.5%
2025-04-07 11:54:10,76.1%
2025-04-07 11:54:15,76.0%
2025-04-07 11:54:20,75.9%
2025-04-07 11:54:25,73.9%
2025-04-07 11:54:30,81.3%
2025-04-07 11:54:35,72.4%
2025-04-07 11:54:40,81.4%
2025-04-07 11:54:45,70.8%
2025-04-07 11:54:50,77.2%
2025-04-07 11:54:55,73.7%
2025-04-07 11:55:00,74.9%
2025-04-07 11:55:05,76.1%
2025-04-07 11:55:10,73.7%
2025-04-07 11:55:15,76.6%
2025-04-07 11:55:20,74.4%
2025-04-07 11:55:25,75.5%
2025-04-07 11:55:30,79.5%
2025-04-07 11:55:35,77.8%
2025-04-07 11:55:40,74.9%
2025-04-07 11:55:45,73.3%
2025-04-07 11:55:50,77.8%
2025-04-07 11:55:55,75.8%
2025-04-07 11:56:00,76.8%
2025-04-07 11:56:05,73.4%
2025-04-07 11:56:10,74.4%
2025-04-07 11:56:15,76.4%
2025-04-07 11:56:20,81.0%
2025-04-07 11:56:25,76.5%
2025-04-07 11:56:30,75.5%
2025-04-07 11:56:35,71.2%
2025-04-07 11:56:40,76.6%
2025-04-07 11:56:45,81.5%
2025-04-07 11:56:50,69.1%
2025-04-07 11:56:55,75.1%
2025-04-07 11:57:00,77.0%
2025-04-07 11:57:05,76.3%
2025-04-07 11:57:10,77.0%
2025-04-07 11:57:15,81.7%
2025-04-07 11:57:20,77.2%
2025-04-07 11:57:25,74.6%
2025-04-07 11:57:30,75.1%
2025-04-07 11:57:35,75.1%
2025-04-07 11:57:40,80.6%
2025-04-07 11:57:45,75.3%
2025-04-07 11:57:50,71.5%
2025-04-07 11:57:55,76.7%
2025-04-07 11:58:00,74.4%
2025-04-07 11:58:05,77.2%
2025-04-07 11:58:10,72.2%
2025-04-07 11:58:15,76.2%
2025-04-07 11:58:20,76.1%
