"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-02 08:58:31,30.4 W
2025-04-02 08:58:32,30.4 W
2025-04-02 08:58:32,30.1 W
2025-04-02 08:58:33,30.2 W
2025-04-02 08:58:33,30.1 W
2025-04-02 08:58:34,30.5 W
2025-04-02 08:58:34,30.5 W
2025-04-02 08:58:35,30.0 W
2025-04-02 08:58:35,30.6 W
2025-04-02 08:58:36,30.4 W
2025-04-02 08:58:36,30.6 W
2025-04-02 08:58:37,30.7 W
2025-04-02 08:58:37,30.1 W
2025-04-02 08:58:38,30.4 W
2025-04-02 08:58:38,30.5 W
2025-04-02 08:58:39,30.1 W
2025-04-02 08:58:39,30.9 W
2025-04-02 08:58:40,30.7 W
2025-04-02 08:58:40,30.4 W
2025-04-02 08:58:41,30.7 W
2025-04-02 08:58:41,30.5 W
2025-04-02 08:58:42,30.2 W
2025-04-02 08:58:42,30.3 W
2025-04-02 08:58:43,30.1 W
2025-04-02 08:58:43,30.3 W
2025-04-02 08:58:44,30.7 W
2025-04-02 08:58:44,30.4 W
2025-04-02 08:58:45,30.4 W
2025-04-02 08:58:45,30.5 W
2025-04-02 08:58:46,30.5 W
2025-04-02 08:58:46,30.5 W
2025-04-02 08:58:47,30.4 W
2025-04-02 08:58:47,29.8 W
2025-04-02 08:58:48,30.7 W
2025-04-02 08:58:48,30.6 W
2025-04-02 08:58:49,30.5 W
2025-04-02 08:58:49,30.0 W
2025-04-02 08:58:50,30.1 W
2025-04-02 08:58:50,30.5 W
2025-04-02 08:58:51,30.2 W
2025-04-02 08:58:51,30.5 W
2025-04-02 08:58:52,30.2 W
2025-04-02 08:58:52,30.2 W
2025-04-02 08:58:53,30.4 W
2025-04-02 08:58:53,30.3 W
2025-04-02 08:58:54,30.3 W
2025-04-02 08:58:55,31.0 W
2025-04-02 08:58:55,30.2 W
2025-04-02 08:58:56,30.6 W
2025-04-02 08:58:56,29.9 W
2025-04-02 08:58:57,29.9 W
2025-04-02 08:58:57,30.6 W
2025-04-02 08:58:58,30.4 W
2025-04-02 08:58:58,30.4 W
2025-04-02 08:58:59,30.6 W
2025-04-02 08:58:59,30.3 W
2025-04-02 08:59:00,30.8 W
2025-04-02 08:59:00,29.9 W
