"Time","GraphQL server"
2025-04-02 09:56:40,44.6%
2025-04-02 09:56:50,57.0%
2025-04-02 09:57:00,57.4%
2025-04-02 09:57:10,57.2%
2025-04-02 09:57:20,57.5%
2025-04-02 09:57:30,57.0%
2025-04-02 09:57:40,56.0%
2025-04-02 09:57:50,57.1%
2025-04-02 09:58:00,57.0%
2025-04-02 09:58:10,56.3%
2025-04-02 09:58:20,55.0%
2025-04-02 09:58:30,53.5%
2025-04-02 09:58:40,55.0%
2025-04-02 09:58:50,56.2%
2025-04-02 09:59:00,54.2%
2025-04-02 09:59:10,54.8%
2025-04-02 09:59:20,56.8%
2025-04-02 09:59:30,56.5%
2025-04-02 09:59:40,56.0%
2025-04-02 09:59:50,57.3%
2025-04-02 10:00:00,56.7%
2025-04-02 10:00:10,57.0%
2025-04-02 10:00:20,55.1%
2025-04-02 10:00:30,57.1%
2025-04-02 10:00:40,55.9%
2025-04-02 10:00:50,55.8%
2025-04-02 10:01:00,57.8%
2025-04-02 10:01:10,54.7%
2025-04-02 10:01:20,55.3%
2025-04-02 10:01:30,55.2%
2025-04-02 10:01:40,54.8%
