"Time","Grouped CPU Load"
2025-04-02 11:46:30,18.2%
2025-04-02 11:46:40,58.2%
2025-04-02 11:46:50,57.3%
2025-04-02 11:47:00,57.8%
2025-04-02 11:47:10,58.9%
2025-04-02 11:47:20,59.1%
2025-04-02 11:47:30,58.6%
2025-04-02 11:47:40,57.6%
2025-04-02 11:47:50,58.5%
2025-04-02 11:48:00,58.4%
2025-04-02 11:48:10,57.9%
2025-04-02 11:48:20,59.7%
2025-04-02 11:48:30,58.6%
2025-04-02 11:48:40,58.0%
2025-04-02 11:48:50,54.7%
2025-04-02 11:49:00,58.1%
2025-04-02 11:49:10,58.3%
2025-04-02 11:49:20,57.2%
2025-04-02 11:49:30,56.1%
2025-04-02 11:49:40,57.4%
2025-04-02 11:49:50,58.1%
2025-04-02 11:50:00,58.8%
2025-04-02 11:50:10,58.7%
2025-04-02 11:50:20,59.1%
2025-04-02 11:50:30,58.8%
2025-04-02 11:50:40,55.3%
2025-04-02 11:50:50,57.9%
2025-04-02 11:51:00,53.6%
2025-04-02 11:51:10,56.6%
2025-04-02 11:51:20,53.2%
2025-04-02 11:51:30,54.7%
