"Time","Postgres"
2025-04-03 15:02:00,0.0309%
2025-04-03 15:02:10,1.40%
2025-04-03 15:02:20,1.41%
2025-04-03 15:02:30,1.41%
2025-04-03 15:02:40,1.39%
2025-04-03 15:02:50,1.42%
2025-04-03 15:03:00,1.41%
2025-04-03 15:03:10,1.41%
2025-04-03 15:03:20,1.44%
2025-04-03 15:03:30,1.55%
2025-04-03 15:03:40,1.40%
2025-04-03 15:03:50,1.38%
2025-04-03 15:04:00,1.36%
2025-04-03 15:04:10,1.43%
2025-04-03 15:04:20,1.39%
2025-04-03 15:04:30,1.37%
2025-04-03 15:04:40,1.38%
2025-04-03 15:04:50,1.37%
2025-04-03 15:05:00,1.35%
2025-04-03 15:05:10,1.35%
2025-04-03 15:05:20,1.39%
2025-04-03 15:05:30,1.41%
2025-04-03 15:05:40,1.38%
2025-04-03 15:05:50,1.38%
2025-04-03 15:06:00,1.36%
2025-04-03 15:06:10,1.39%
2025-04-03 15:06:20,1.38%
2025-04-03 15:06:30,1.40%
2025-04-03 15:06:40,1.38%
2025-04-03 15:06:50,1.36%
2025-04-03 15:07:00,1.35%
